test_name,sample_type,hypothesis_family,sub_strategy,robust_cost_bps,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,expectancy,profit_factor,median_mae,median_mfe,time_split,confidence_bucket,event_type,scenario,holding_window_bucket
cost_sensitivity,raw,spot_delisting_announcement_shock,immediate_1h_confirmation,0,20,0.55,0.220927700348432,0.14630584509537595,-0.1525423728813558,0.4285714285714286,-0.1525423728813559,0.4285714285714288,0.14630584509537595,3.131369101389429,0.2578233156346642,0.550232883851215,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,immediate_1h_confirmation,20,20,0.55,0.218927700348432,0.14430584509537597,-0.1545423728813558,0.4265714285714286,-0.1545423728813559,0.4265714285714288,0.14430584509537597,3.075027384325799,0.2578233156346642,0.550232883851215,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,immediate_1h_confirmation,50,20,0.55,0.215927700348432,0.14130584509537597,-0.1575423728813558,0.4235714285714286,-0.1575423728813559,0.4235714285714288,0.14130584509537597,2.9931970260300487,0.2578233156346642,0.550232883851215,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,immediate_1h_confirmation,100,20,0.55,0.210927700348432,0.13630584509537597,-0.1625423728813558,0.4185714285714286,-0.1625423728813559,0.4185714285714288,0.13630584509537597,2.8635256310108175,0.2578233156346642,0.550232883851215,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,rebound_failure_24h,0,14,0.35714285714285715,-0.1071428571428572,0.05793516187839382,-0.1071428571428572,0.24703933911345125,-0.1071428571428572,0.4285714285714286,0.05793516187839382,1.942349503494521,0.3235866558446937,0.53567675493905,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,rebound_failure_24h,20,14,0.35714285714285715,-0.10914285714285721,0.05593516187839382,-0.10914285714285721,0.24503933911345124,-0.10914285714285721,0.4265714285714286,0.05593516187839382,1.8911811447402809,0.3235866558446937,0.53567675493905,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,rebound_failure_24h,50,14,0.35714285714285715,-0.11214285714285721,0.05293516187839382,-0.11214285714285721,0.24203933911345124,-0.11214285714285721,0.4235714285714286,0.05293516187839382,1.8182420276738258,0.3235866558446937,0.53567675493905,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,rebound_failure_24h,100,14,0.35714285714285715,-0.1171428571428572,0.04793516187839383,-0.1171428571428572,0.23703933911345126,-0.1171428571428572,0.4185714285714286,0.04793516187839383,1.7058832871087717,0.3235866558446937,0.53567675493905,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,rebound_failure_24h_hold30,0,14,0.2857142857142857,-0.1304347826086955,0.06289881587249299,-0.1304347826086955,0.1698315599914174,-0.1304347826086955,1.0,0.06289881587249299,1.73892131399437,0.3235866558446937,0.7475750886346911,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,rebound_failure_24h_hold30,20,14,0.2857142857142857,-0.1324347826086955,0.06089881587249298,-0.1324347826086955,0.1678315599914174,-0.1324347826086955,0.998,0.06089881587249298,1.7036172734989148,0.3235866558446937,0.7475750886346911,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,rebound_failure_24h_hold30,50,14,0.2857142857142857,-0.13543478260869551,0.05789881587249297,-0.13543478260869551,0.1648315599914174,-0.13543478260869551,0.995,0.05789881587249297,1.6527935890174068,0.3235866558446937,0.7475750886346911,,,,,
cost_sensitivity,raw,spot_delisting_announcement_shock,rebound_failure_24h_hold30,100,14,0.2857142857142857,-0.14043478260869552,0.05289881587249296,-0.14043478260869552,0.1598315599914174,-0.14043478260869552,0.99,0.05289881587249296,1.573333568778436,0.3235866558446937,0.7475750886346911,,,,,
cost_sensitivity,declustered,monitoring_tag,failed_recovery_7d_trigger,0,86,0.29069767441860467,-0.1525423728813558,0.10292089584605964,-0.15254237288135586,0.38963217529105687,-0.1525423728813559,0.8181818181818181,0.10292089584605964,1.9644164580426022,0.4777006252829097,0.7500000000000002,,,,,
cost_sensitivity,declustered,monitoring_tag,failed_recovery_7d_trigger,20,86,0.29069767441860467,-0.1545423728813558,0.10092089584605968,-0.15454237288135586,0.38763217529105687,-0.1545423728813559,0.8161818181818181,0.10092089584605968,1.9332695953669563,0.4777006252829097,0.7500000000000002,,,,,
cost_sensitivity,declustered,monitoring_tag,failed_recovery_7d_trigger,50,86,0.29069767441860467,-0.1575423728813558,0.09792089584605966,-0.15754237288135586,0.38463217529105687,-0.1575423728813559,0.8131818181818181,0.09792089584605966,1.8880519933407804,0.4777006252829097,0.7500000000000002,,,,,
cost_sensitivity,declustered,monitoring_tag,failed_recovery_7d_trigger,100,86,0.29069767441860467,-0.1625423728813558,0.09292089584605967,-0.16254237288135587,0.37963217529105686,-0.1625423728813559,0.8081818181818181,0.09292089584605967,1.8164467639637696,0.4777006252829097,0.7500000000000002,,,,,
