execution_variant,variant_priority,filter_group,filter_name,entry_feasible_filter,cost_bps,sample_view,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,expectancy,profit_factor,average_return_ex_top5,median_return_ex_top5,low_confidence_flag
immediate_1h_confirmation,priority,data_quality,exclude_fallback_only_paths,yes,50,full_sample,68,0.6176470588235294,0.09985739825963186,0.09900245391401664,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.17563436882530345,0.3220289694211665,0.09900245391401664,2.5083271544779238,-0.01784237696265166,-0.17166666666666655,no
immediate_1h_confirmation,priority,data_quality,exclude_fallback_only_paths,yes,100,full_sample,68,0.6176470588235294,0.09485739825963185,0.09400245391401665,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.17563436882530345,0.3220289694211665,0.09400245391401665,2.391618330802569,-0.02284237696265166,-0.17666666666666656,no
immediate_1h_confirmation,priority,data_quality_combo,clean_no_gap_no_fallback,yes,0,full_sample,27,0.5555555555555556,0.1092475067996374,0.07274395877204286,-0.1666666666666666,0.24802574946667166,-0.1666666666666667,0.4285714285714286,0.1855670103092783,0.3248587570621468,0.07274395877204286,1.982043443422579,-0.008125920727817544,-0.16666666666666655,no
immediate_1h_confirmation,priority,data_quality_combo,clean_no_gap_no_fallback,yes,20,full_sample,27,0.5555555555555556,0.1072475067996374,0.07074395877204286,-0.1686666666666666,0.24602574946667166,-0.16866666666666671,0.4265714285714286,0.1855670103092783,0.3248587570621468,0.07074395877204286,1.943718817611244,-0.010125920727817546,-0.16866666666666655,no
immediate_1h_confirmation,priority,data_quality_combo,clean_no_gap_no_fallback,yes,20,excluding_top5,22,0.45454545454545453,-0.16866666666666655,-0.010125920727817546,-0.1686666666666666,0.12988747976254725,-0.16866666666666671,0.3345384615384617,0.3127221037668799,0.28318684316206594,-0.010125920727817546,0.8899356442628529,-0.040752448864535364,-0.1686666666666666,no
immediate_1h_confirmation,priority,data_quality_combo,clean_no_gap_no_fallback,yes,50,full_sample,27,0.5555555555555556,0.1042475067996374,0.06774395877204285,-0.1716666666666666,0.24302574946667166,-0.17166666666666672,0.4235714285714286,0.1855670103092783,0.3248587570621468,0.06774395877204285,1.8879062557500765,-0.013125920727817549,-0.17166666666666655,no
immediate_1h_confirmation,priority,data_quality_combo,clean_no_gap_no_fallback,yes,100,full_sample,27,0.5555555555555556,0.09924750679963741,0.06274395877204285,-0.1766666666666666,0.23802574946667165,-0.17666666666666672,0.4185714285714286,0.1855670103092783,0.3248587570621468,0.06274395877204285,1.7990975881345086,-0.018125920727817543,-0.17666666666666656,no
immediate_1h_confirmation,priority,path_behavior,negative_1h_confirmation,yes,0,full_sample,89,0.5617977528089888,0.0731707317073173,0.09067663362478626,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.2127659574468086,0.3830845771144278,0.09067663362478626,2.241572368093227,0.057304308197957385,0.017063492063492,no
immediate_1h_confirmation,priority,path_behavior,negative_1h_confirmation,yes,20,full_sample,89,0.5617977528089888,0.0711707317073173,0.08867663362478628,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.2127659574468086,0.3830845771144278,0.08867663362478628,2.1997902694749136,0.05530430819795738,0.015063492063492,no
immediate_1h_confirmation,priority,path_behavior,negative_1h_confirmation,yes,20,excluding_top5,81,0.5185185185185185,0.015063492063492,0.05530430819795738,-0.1686666666666666,0.2361759141606665,-0.16866666666666671,0.4265714285714286,0.2449999999999998,0.3562499999999999,0.05530430819795738,1.6810047072110896,-0.05077201190874867,-0.1686666666666666,no
