event_id,token_entity_id,token_symbol,anchor_event_type,baseline_price,max_return_1h,max_return_4h,max_return_24h,max_return_3d,max_return_7d,max_return_until_effective_delisting,max_return_price_source,max_return_exchange,volume_zscore,post_pump_drawdown,pump20_flag,pump_and_dump_flag,low_liquidity_pump_flag,fallback_used,manual_review_required
ad47866cdc3fa4f9,DENT,DENT,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0001311871500631,-0.0769230769230768,-0.0769230769230768,-0.1384615384615384,-0.4307692307692308,-0.4692307692307692,-0.0769230769230768,binance,binance,1.9491438292685956,-0.6043076923076923,no,no,no,yes,no
99b686845e362442,EPX,EPX,SPOT_TOKEN_DELISTING_ANNOUNCED,9.3197350513403e-05,-0.0409276944065485,-0.0532060027285129,0.3560709413369713,-0.0231923601637107,-0.2169167803547067,0.3560709413369713,binance,binance,4.11193974336361,-1.0914051841746248,yes,yes,no,no,no
2b488d2b7a3bc9e1,ELF,ELF,SPOT_TOKEN_DELISTING_ANNOUNCED,0.2404836327472224,-0.0385964912280701,-0.0973684210526315,-0.081578947368421,0.0162280701754384,-0.0666666666666667,0.0627192982456139,ccxt_gateio,gateio,-0.1367032744856069,-0.1903508771929823,no,no,no,yes,no
fcfc54cd33c803c1,FARM,FARM,SPOT_TOKEN_DELISTING_ANNOUNCED,10.574832379374367,-0.0402061855670101,-0.0278350515463917,-0.01340206185567,-0.1154639175257731,-0.3061855670103092,-0.01340206185567,binance,binance,3.414449891430004,-0.3298969072164948,no,no,no,no,no
12a35496eac872d0,FOR,FOR,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0114517489459175,-0.0792811839323466,-0.0570824524312895,0.043340380549683,-0.2790697674418605,-0.4080338266384777,0.043340380549683,binance,binance,0.7852506261607892,-0.7198731501057084,no,no,no,no,no
5edb3573d0fb2768,GFT,GFT,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0139969970602183,-0.031890660592255,-0.0850417615793469,-0.1678056188306758,-0.2748671222475323,-0.8511769172361427,-0.031890660592255,binance,binance,4.044696785609685,-0.8192862566438877,no,no,no,no,no
baa29308443bb37c,FIRO,FIRO,SPOT_TOKEN_DELISTING_ANNOUNCED,0.4977263206194083,-0.1991786447638602,-0.2751540041067761,-0.2669404517453799,-0.1437371663244353,-0.3449691991786447,-0.1437371663244353,binance,binance,14.497285029525004,-0.2012320328542094,no,no,no,no,no
420df8d1346ad109,FLM,FLM,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0182469881436677,-0.0190114068441065,-0.1330798479087452,-0.2965779467680609,0.0342205323193915,-0.1939163498098859,0.0342205323193915,binance,binance,5.361516800965433,-0.8334220532319392,no,no,no,yes,no
aa59d83f83934faa,FIS,FIS,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0442252888828553,-0.1200923787528868,-0.0946882217090069,0.0138568129330254,-0.2563510392609699,-0.3995381062355658,0.0138568129330254,binance,binance,0.5658929579677009,-0.6244803695150116,no,no,no,yes,no
838bae335e170e7d,GHST,GHST,SPOT_TOKEN_DELISTING_ANNOUNCED,0.1381110638526223,-0.2432432432432432,-0.2297297297297297,-0.2364864864864864,-0.3851351351351351,-0.4527027027027026,-0.2162162162162161,binance,binance,1.1068525038481345,-0.2970945945945947,no,no,no,yes,no
