hold_window,stop_model,be_model,token_trades,clusters,total_margin_usdt,total_pnl_usdt,roi_on_margin,token_win_rate,cluster_win_rate,median_token_pnl,median_cluster_roi,p25_token_pnl,p75_token_pnl,best_token_pnl,worst_token_pnl,profit_factor,stopped_out_rate,breakeven_exit_rate,median_mfe,median_mae,max_mae
14d,stop_50,be_after_20,53,17,5300.0,8670.950925061688,1.6360284764267337,0.5849056603773585,0.7058823529411765,37.837837837837895,1.5986971527178595,0.0,391.71974522292976,1834.22080227192,-333.33333333333337,3.944072310877868,0.1320754716981132,0.16981132075471697,0.2569999999999999,0.04651162790697683,1.0609756097560972
14d,stop_50,be_after_5,53,17,5300.0,4685.025981908229,0.8839671663977792,0.22641509433962265,0.5294117647058824,0.0,0.24265644955300109,0.0,0.0,1834.22080227192,-333.33333333333337,4.226601812870468,0.05660377358490566,0.6415094339622641,0.11142857142857143,0.01732377538829155,1.0609756097560972
14d,stop_50,no_be,53,17,5300.0,11495.739955989804,2.169007538866001,0.7169811320754716,0.7647058823529411,88.75896890778634,1.1319489620723402,-62.913907284768314,444.3485763589299,1834.22080227192,-333.33333333333337,4.182749047908531,0.16981132075471697,0.0,0.3291925465838508,0.07619047619047614,1.08274231678487
1d,no_stop,be_after_10,53,17,5300.0,4446.346538222955,0.8389333090986708,0.7169811320754716,0.7647058823529411,73.58738501971085,0.5862540535397468,0.0,138.88888888888906,713.304721030043,-177.19298245614024,9.28173177057616,0.0,0.11320754716981132,0.1319999999999999,0.014893617021276562,1.0609756097560972
1d,no_stop,be_after_15,53,17,5300.0,5024.3892431669465,0.9479979704088578,0.7924528301886793,0.8235294117647058,98.34368530020687,0.8612725028374568,22.69288956127058,157.73809523809513,713.304721030043,-177.19298245614024,10.358389784775317,0.0,0.03773584905660377,0.1417004048582995,0.014893617021276562,1.0609756097560972
1d,no_stop,be_after_20,53,17,5300.0,5024.3892431669465,0.9479979704088578,0.7924528301886793,0.8235294117647058,98.34368530020687,0.8612725028374568,22.69288956127058,157.73809523809513,713.304721030043,-177.19298245614024,10.358389784775317,0.0,0.03773584905660377,0.1417004048582995,0.014893617021276562,1.0609756097560972
1d,no_stop,be_after_5,53,17,5300.0,2964.9645327389644,0.5594272703281065,0.4339622641509434,0.6470588235294118,0.0,0.41376876212720387,0.0,105.20636633396285,713.304721030043,-177.19298245614024,7.053081918082383,0.0,0.41509433962264153,0.09368770764119594,0.010355029585798814,1.0609756097560972
1d,no_stop,no_be,53,17,5300.0,5252.532770184047,0.9910439189026504,0.8301886792452831,0.8235294117647058,104.03120936280885,0.8612725028374568,38.09523809523818,160.33254156769596,713.304721030043,-177.19298245614024,10.78332820999846,0.0,0.0,0.1417004048582995,0.016272189349112454,1.0609756097560972
1d,stop_10,be_after_10,53,17,5300.0,3886.8646755247264,0.7333706934952314,0.660377358490566,0.7647058823529411,61.155630535638885,0.5862540535397468,0.0,138.88888888888906,713.304721030043,-90.90909090909105,5.740160701276726,0.1320754716981132,0.11320754716981132,0.12709832134292554,0.014893617021276562,1.0609756097560972
1d,stop_10,be_after_15,53,17,5300.0,4464.907380468718,0.8424353548054184,0.7358490566037735,0.7647058823529411,90.20618556701021,0.8612725028374568,0.0,157.73809523809513,713.304721030043,-90.90909090909105,6.445102998570702,0.1320754716981132,0.03773584905660377,0.13314840499306513,0.014893617021276562,1.0609756097560972
1d,stop_10,be_after_20,53,17,5300.0,4464.907380468718,0.8424353548054184,0.7358490566037735,0.7647058823529411,90.20618556701021,0.8612725028374568,0.0,157.73809523809513,713.304721030043,-90.90909090909105,6.445102998570702,0.1320754716981132,0.03773584905660377,0.13314840499306513,0.014893617021276562,1.0609756097560972
1d,stop_10,be_after_5,53,17,5300.0,2640.1208018619654,0.4981360003513142,0.41509433962264153,0.7058823529411765,0.0,0.41376876212720387,0.0,104.03120936280885,713.304721030043,-90.90909090909105,4.871043099656875,0.11320754716981132,0.39622641509433965,0.08949416342412464,0.010355029585798814,1.0609756097560972
1d,stop_10,no_be,53,17,5300.0,4693.050907485817,0.8854813032992108,0.7735849056603774,0.7647058823529411,93.75000000000023,0.8612725028374568,12.944983818770295,160.33254156769596,713.304721030043,-90.90909090909105,6.723331615025203,0.1320754716981132,0.0,0.13314840499306513,0.016272189349112454,1.0609756097560972
1d,stop_15,be_after_10,53,17,5300.0,3873.272677460679,0.7308061655586187,0.6792452830188679,0.7058823529411765,72.79693486590033,0.5862540535397468,0.0,138.88888888888906,713.304721030043,-130.43478260869568,5.008640856366531,0.11320754716981132,0.11320754716981132,0.1318458417849897,0.014893617021276562,1.0609756097560972
1d,stop_15,be_after_15,53,17,5300.0,4451.31538240467,0.8398708268688058,0.7547169811320755,0.7058823529411765,93.75000000000023,0.8612725028374568,4.7355958958168465,157.73809523809513,713.304721030043,-130.43478260869568,5.60688575072864,0.11320754716981132,0.03773584905660377,0.13608870967741926,0.014893617021276562,1.0609756097560972
1d,stop_15,be_after_20,53,17,5300.0,4451.31538240467,0.8398708268688058,0.7547169811320755,0.7058823529411765,93.75000000000023,0.8612725028374568,4.7355958958168465,157.73809523809513,713.304721030043,-130.43478260869568,5.60688575072864,0.11320754716981132,0.03773584905660377,0.13608870967741926,0.014893617021276562,1.0609756097560972
