event_id,token_entity_id,token_symbol,spot_symbol,futures_symbol_candidate,entry_time,event_time,had_binance_perp_at_entry,perp_listed_before_entry,perp_delisted_before_entry,perp_status_confidence,futures_ohlcv_available_around_entry,futures_ohlcv_symbol,futures_ohlcv_rows_around_entry,funding_available_around_entry,funding_cache_paths,open_interest_available_around_entry,open_interest_cache_paths,futures_delisting_announcement_state,futures_delisting_event_id,futures_delisting_publication_utc,futures_delisting_effective_utc,futures_cache_symbol_dirs_present,current_futures_exchangeinfo_snapshot_utc,current_futures_exchangeinfo_symbol_status,current_exchangeinfo_used_as_historical_proof,shortability_tier,shortability_blocker,feasibility_tier,low_liquidity_flag,extreme_first_hour_wick_gap,abnormal_candle_gap,quote_volume_24h_around_entry,gross_return,net_return_20bps,net_return_50bps,net_return_100bps,net_return_200bps,net_return_500bps,max_adverse_excursion,max_favorable_excursion,confidence_tier,scenario,final_outcome,manual_review_required
c7d11f997d396961,STMX,STMX,STMXUSDT,"STMXUSDT,STMXBUSD",2025-01-02T11:59:59Z,2025-01-02T09:00:19Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,STMXUSDT:SETTLING,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,6934076.963579,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,0.3642819101721994,0.1561986863711002,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
db0cdaac498440e7,TROY,TROY,TROYUSDT,"TROYUSDT,TROYBUSD",2025-01-02T11:59:59Z,2025-01-02T09:00:19Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,TROYUSDT:SETTLING,no,unknown,missing_historical_perp_listing_or_borrow_data,low,no,no,yes,273752811.685976,0.4285714285714288,0.4265714285714288,0.4235714285714288,0.4185714285714288,0.4085714285714288,0.3785714285714288,0.0432889344262295,3.889167188478397,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
064b0dde744232dc,ALPACA,ALPACA,ALPACAUSDT,"ALPACAUSDT,ALPACABUSD",2025-03-04T10:59:59Z,2025-03-04T08:01:22Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,ALPACAUSDT:SETTLING,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,4449495.49713,0.4285714285714288,0.4265714285714288,0.4235714285714288,0.4185714285714288,0.4085714285714288,0.3785714285714288,0.1241997439180537,0.7511210762331839,low_sensitivity,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,delisted_after_tag,no
c9bba63a0a1d11c1,AST,AST,ASTUSDT,"ASTUSDT,ASTBUSD",2025-03-04T10:59:59Z,2025-03-04T08:01:22Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,1269006.7684,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.2260692464358451,4.709302325581395,high,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
27494810cfd7dda7,BURGER,BURGER,BURGERUSDT,"BURGERUSDT,BURGERBUSD",2025-03-04T10:59:59Z,2025-03-04T08:01:22Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,11193439.36027,0.4285714285714288,0.4265714285714288,0.4235714285714288,0.4185714285714288,0.4085714285714288,0.3785714285714288,0.1881743634009496,12.957831325301203,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
0b0fef5c55d48f0f,NULS,NULS,NULSUSDT,"NULSUSDT,NULSBUSD",2025-03-04T10:59:59Z,2025-03-04T08:01:22Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,NULSUSDT:SETTLING,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,4705832.572000001,0.4285714285714286,0.4265714285714286,0.4235714285714286,0.4185714285714286,0.4085714285714286,0.3785714285714286,0.0223623853211007,0.9706214689265538,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
93a4361a2732433c,UFT,UFT,UFTUSDT,"UFTUSDT,UFTBUSD",2025-03-04T10:59:59Z,2025-03-04T08:01:22Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,1133134.4218,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,0.3902012248468942,1.0972477064220183,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
c93a669847ebc63d,VIDT,VIDT,VIDTUSDT,"VIDTUSDT,VIDTBUSD",2025-03-04T10:59:59Z,2025-03-04T08:01:22Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,VIDTUSDT:SETTLING,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,5775292.45763,0.4285714285714286,0.4265714285714286,0.4235714285714286,0.4185714285714286,0.4085714285714286,0.3785714285714286,1.0304606240713223,0.5761124121779857,low_sensitivity,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,delisted_after_tag,no
afca87c30daaf7ba,ARDR,ARDR,ARDRUSDT,"ARDRUSDT,ARDRBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,low,yes,no,no,989153.15894,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,3.273224043715847,0.1873479318734792,high,TEMPORARY_PANIC_THEN_RECOVERY,still_tagged,no
5af125cfd901bc4e,BSW,BSW,BSWUSDT,"BSWUSDT,BSWBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,weak_after_entry_announcement,0043d0ffc2ef5b82,2025-09-10T10:14:43Z,2025-09-15T09:00:00Z,,2026-05-26T13:54:55Z,BSWUSDT:SETTLING,no,unknown,only_later_futures_delisting_announcement_not_proof_at_entry,low,no,no,yes,9579967.15673,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,2.674698795180723,0.5090909090909093,high,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,delisted_after_tag,no
725932a8252a9eab,FLM,FLM,FLMUSDT,"FLMUSDT,FLMBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,weak_after_entry_announcement,0a63c46a5b023b09,2025-11-18T04:01:13Z,2025-11-21T09:00:00Z,,2026-05-26T13:54:55Z,FLMUSDT:SETTLING,no,unknown,only_later_futures_delisting_announcement_not_proof_at_entry,medium,no,no,no,2622377.5361,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,2.0282485875706215,0.3014705882352941,high,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
df810f78fc4e4193,LTO,LTO,LTOUSDT,"LTOUSDT,LTOBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,low,no,no,yes,6546924.2177,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,1.105633802816901,0.2294372294372295,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
adf7b79baadd3250,NKN,NKN,NKNUSDT,"NKNUSDT,NKNBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,NKNUSDT:SETTLING,no,unknown,missing_historical_perp_listing_or_borrow_data,low,no,no,yes,4065070.5169,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,1.4896265560165975,0.5062499999999999,high,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
9793cd97d25ee40f,PERP,PERP,PERPUSDT,"PERPUSDT,PERPBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,weak_after_entry_announcement,e777ed743077b4b9,2025-11-18T04:01:13Z,2025-11-21T09:00:00Z,,2026-05-26T13:54:55Z,PERPUSDT:SETTLING,no,unknown,only_later_futures_delisting_announcement_not_proof_at_entry,low,no,no,yes,4873179.262775,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.8025048169556839,0.2697247706422019,high,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
d485d7796d3134c1,VIB,VIB,VIBUSDT,"VIBUSDT,VIBBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,low,no,no,yes,2953935.23453,0.4285714285714286,0.4265714285714286,0.4235714285714286,0.4185714285714286,0.4085714285714286,0.3785714285714286,0.8364184244511406,11.905555555555557,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
e0c3a1cadfeb9ad2,VOXEL,VOXEL,VOXELUSDT,"VOXELUSDT,VOXELBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,weak_after_entry_announcement,1eb084a997ce11d4,2025-12-05T10:32:50Z,2025-12-10T09:00:00Z,,2026-05-26T13:54:55Z,VOXELUSDT:SETTLING,no,unknown,only_later_futures_delisting_announcement_not_proof_at_entry,low,no,yes,yes,7288321.93657,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,4.180232558139535,0.7114427860696517,high,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
8025080a0cc8fac6,WING,WING,WINGUSDT,"WINGUSDT,WINGBUSD",2025-04-03T09:59:59Z,2025-04-03T07:00:36Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,low,no,no,yes,5034229.48752,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,0.3027624309392265,5.219931271477664,high,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
cdee2c69a544c7e6,ALPHA,ALPHA,ALPHAUSDT,"ALPHAUSDT,ALPHABUSD",2025-05-07T10:59:59Z,2025-05-07T08:00:33Z,unknown,unknown,no,unknown,no,,0,no,,no,,weak_after_entry_announcement,ea41d28824402b10,2025-09-17T08:45:27Z,2025-09-23T09:00:00Z,,2026-05-26T13:54:55Z,ALPHAUSDT:SETTLING,no,unknown,only_later_futures_delisting_announcement_not_proof_at_entry,medium,no,no,no,5805260.683800001,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.4407407407407406,0.1790393013100437,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
2c99c44cb7fd8609,HIFI,HIFI,HIFIUSDT,"HIFIUSDT,HIFIBUSD",2025-05-07T10:59:59Z,2025-05-07T08:00:33Z,unknown,unknown,no,unknown,no,,0,no,,no,,weak_after_entry_announcement,e8c83c92fef9431b,2025-09-29T11:45:19Z,2025-10-03T09:00:00Z,,2026-05-26T13:54:55Z,HIFIUSDT:SETTLING,no,unknown,only_later_futures_delisting_announcement_not_proof_at_entry,medium,no,no,no,3991170.36344,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,0.2978808476609356,2.3797297297297297,low_sensitivity,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,delisted_after_tag,no
