hypothesis,sub_strategy,roundtrip_cost_bps,grouping,number_of_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_max_adverse_excursion,median_max_favorable_excursion,median_time_to_tp_hours,median_time_to_sl_hours,expectancy,median_risk_reward,scenario,event_type,confidence_tier
,,0,scenario+roundtrip_cost_bps,27,0.5185185185185185,0.08448753462603875,0.0957721489059584,-0.1596045197740113,0.4285714285714286,-0.16666666666666663,0.5641025641025641,0.36570327552986504,0.3188044831880448,62.5,359.0,0.0957721489059584,1.4396113556065215,TAG_REMOVED_AND_RECOVERED,,
,,20,scenario+roundtrip_cost_bps,27,0.5185185185185185,0.08248753462603875,0.09377214890595839,-0.1616045197740113,0.4265714285714286,-0.16866666666666663,0.5621025641025641,0.36570327552986504,0.3188044831880448,62.5,359.0,0.09377214890595839,1.4396113556065215,TAG_REMOVED_AND_RECOVERED,,
,,0,scenario+roundtrip_cost_bps,7,0.42857142857142855,-0.15254237288135586,0.14812951374694716,-0.15960451977401124,0.4285714285714286,-0.16666666666666674,0.8181818181818181,0.1954022988505748,1.258278145695364,62.0,25.0,0.14812951374694716,4.125700458481916,TAG_REMOVED_BUT_NOT_RECOVERED,,
,,20,scenario+roundtrip_cost_bps,7,0.42857142857142855,-0.15454237288135586,0.1461295137469472,-0.16160451977401125,0.4265714285714286,-0.16866666666666674,0.8161818181818181,0.1954022988505748,1.258278145695364,62.0,25.0,0.1461295137469472,4.125700458481916,TAG_REMOVED_BUT_NOT_RECOVERED,,
,,0,scenario+roundtrip_cost_bps,269,0.4312267657992565,-0.15254237288135586,0.13756144411044913,-0.16666666666666663,0.4285714285714286,-0.16666666666666674,0.8181818181818181,0.2707317073170732,0.6812499999999999,264.0,123.0,0.13756144411044913,3.20492988744262,TAG_TO_DELISTING_TO_COLLAPSE,,
,,20,scenario+roundtrip_cost_bps,269,0.4312267657992565,-0.15454237288135586,0.13556144411044913,-0.16866666666666663,0.4265714285714286,-0.16866666666666674,0.8161818181818181,0.2707317073170732,0.6812499999999999,264.0,123.0,0.13556144411044913,3.20492988744262,TAG_TO_DELISTING_TO_COLLAPSE,,
,,0,scenario+roundtrip_cost_bps,13,0.15384615384615385,-0.15254237288135597,-0.1263999745603714,-0.16666666666666663,-0.15254237288135586,-0.16666666666666674,0.07317073170731736,0.456923076923077,0.4471544715447153,,79.0,-0.1263999745603714,0.9535803311769243,TEMPORARY_PANIC_THEN_RECOVERY,,
,,20,scenario+roundtrip_cost_bps,13,0.15384615384615385,-0.15454237288135597,-0.1283999745603714,-0.16866666666666663,-0.15454237288135586,-0.16866666666666674,0.07117073170731736,0.456923076923077,0.4471544715447153,,79.0,-0.1283999745603714,0.9535803311769243,TEMPORARY_PANIC_THEN_RECOVERY,,
,,0,event_type+roundtrip_cost_bps,428,0.43457943925233644,-0.15254237288135586,0.10669070088746264,-0.16666666666666663,0.4285714285714286,-0.16666666666666674,0.8181818181818181,0.2973779238304678,0.4893329326923077,264.0,127.0,0.10669070088746264,2.2334201301031418,,MONITORING_TAG_ADDED,
,,20,event_type+roundtrip_cost_bps,428,0.43457943925233644,-0.15454237288135586,0.10469070088746264,-0.16866666666666663,0.4265714285714286,-0.16866666666666674,0.8161818181818181,0.2973779238304678,0.4893329326923077,264.0,127.0,0.10469070088746264,2.2334201301031418,,MONITORING_TAG_ADDED,
,,0,event_type+roundtrip_cost_bps,77,0.44155844155844154,-0.1071428571428572,0.1412757325740451,-0.15254237288135586,0.4285714285714286,-0.16666666666666674,1.0,0.2707317073170732,0.6355140186915891,59.0,14.0,0.1412757325740451,2.9239388062917433,,SPOT_TOKEN_DELISTING_ANNOUNCED,
,,20,event_type+roundtrip_cost_bps,77,0.44155844155844154,-0.10914285714285721,0.1392757325740451,-0.15454237288135586,0.4265714285714286,-0.16866666666666674,0.998,0.2707317073170732,0.6355140186915891,59.0,14.0,0.1392757325740451,2.9239388062917433,,SPOT_TOKEN_DELISTING_ANNOUNCED,
