futures_symbol,query_start_utc,query_end_utc,kline_rows,funding_rows,open_interest_rows,confirmed_binance_perp,inferred_from_futures_klines,funding_available,oi_available,api_unavailable,no_binance_perp_evidence,manual_review_needed,availability_status,http_statuses,api_errors,kline_cache_path,funding_cache_path,open_interest_cache_path,cache_hit_all,event_id,token_entity_id,token_symbol,spot_symbol,entry_time,event_time,feasibility_tier,low_liquidity_flag,gross_return,net_return_20bps,net_return_50bps,net_return_100bps,net_return_200bps,net_return_500bps,max_adverse_excursion,max_favorable_excursion,collected_at_utc
FISUSDT,2025-06-03T07:59:59Z,2025-06-07T07:59:59Z,96,24,0,yes,yes,yes,no,no,no,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,200;200;400,http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/54c42b93a71dc601df4eebdc.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/027a9a1aeba7a88f9f503c3e.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/6f7b15fc3bdbf18aa6a9086a.json,yes,b61c4ff537847d96,FIS,FIS,FISUSDT,2025-06-05T07:59:59Z,2025-06-05T05:00:18Z,medium,no,0.4285714285714286,0.4265714285714286,0.4235714285714286,0.4185714285714286,0.4085714285714286,0.3785714285714286,0.0123171670515782,0.7601626016260159,2026-05-27T11:42:09Z
FISBUSD,2025-06-03T07:59:59Z,2025-06-07T07:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/e605f793fd34618e47714496.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/373511e6297d6dd095336555.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/ad1060e1bf0d42acc9322102.json,yes,b61c4ff537847d96,FIS,FIS,FISUSDT,2025-06-05T07:59:59Z,2025-06-05T05:00:18Z,medium,no,0.4285714285714286,0.4265714285714286,0.4235714285714286,0.4185714285714286,0.4085714285714286,0.3785714285714286,0.0123171670515782,0.7601626016260159,2026-05-27T11:42:09Z
KMDUSDT,2025-06-03T07:59:59Z,2025-06-07T07:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/a815b291499591f9728093ce.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/66dd67146cb55bc2f68d62cc.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/8e032bf43f68ddd58a303682.json,yes,2a7c0c057f11d40d,KMD,KMD,KMDUSDT,2025-06-05T07:59:59Z,2025-06-05T05:00:18Z,medium,no,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.2024539877300613,5.887323943661971,2026-05-27T11:42:09Z
KMDBUSD,2025-06-03T07:59:59Z,2025-06-07T07:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/d3cedbbf501c57c099168696.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/07b77cf6c2596d022e578602.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/84d970dc7ca7fce69738d20f.json,yes,2a7c0c057f11d40d,KMD,KMD,KMDUSDT,2025-06-05T07:59:59Z,2025-06-05T05:00:18Z,medium,no,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.2024539877300613,5.887323943661971,2026-05-27T11:42:09Z
SLFUSDT,2025-07-05T05:59:59Z,2025-07-09T05:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/836ce8571706f5b6f746deb2.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/5c2111f606c605d2404932c2.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/3f2dde7bff47746a8c5b1de1.json,yes,75401db392ee79e3,SLF,SLF,SLFUSDT,2025-07-07T05:59:59Z,2025-07-07T03:29:57Z,medium,no,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.7087087087087085,0.0829268292682927,2026-05-27T11:42:10Z
SLFBUSD,2025-07-05T05:59:59Z,2025-07-09T05:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/51ff435e5e6ee76dfaad7a93.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/6656db1392fa0c8beed6dcdf.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/ced14e6340b94dd2dcd1f8d9.json,yes,75401db392ee79e3,SLF,SLF,SLFUSDT,2025-07-07T05:59:59Z,2025-07-07T03:29:57Z,medium,no,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.7087087087087085,0.0829268292682927,2026-05-27T11:42:10Z
WANUSDT,2025-10-07T04:59:59Z,2025-10-11T04:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/81d84897c623c25082235564.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/daea101ab99de0df76e01ec3.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/8fc26f8725e37f193aba2c83.json,yes,f1627838a2164868,WAN,WAN,WANUSDT,2025-10-09T04:59:59Z,2025-10-09T02:29:52Z,medium,no,0.1466113416320884,0.1446113416320883,0.1416113416320883,0.1366113416320883,0.1266113416320884,0.0966113416320883,0.180940892641737,0.3816666666666668,2026-05-27T11:42:10Z
WANBUSD,2025-10-07T04:59:59Z,2025-10-11T04:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/6cfdc4024663741bcd4a877b.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/d19d947bbb8dbecf45ba5cd0.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/5041c7429ba505148a14bab9.json,yes,f1627838a2164868,WAN,WAN,WANUSDT,2025-10-09T04:59:59Z,2025-10-09T02:29:52Z,medium,no,0.1466113416320884,0.1446113416320883,0.1416113416320883,0.1366113416320883,0.1266113416320884,0.0966113416320883,0.180940892641737,0.3816666666666668,2026-05-27T11:42:10Z
GHSTUSDT,2025-11-29T06:59:59Z,2025-12-03T06:59:59Z,96,24,0,yes,yes,yes,no,no,no,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,200;200;400,http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/92cb5cad4be3d75d5b9cdac9.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/facce893e9641735f62ad384.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/06038dc77cd6678e18a796b3.json,yes,fc33d59d02e3d720,GHST,GHST,GHSTUSDT,2025-12-01T06:59:59Z,2025-12-01T04:30:24Z,medium,no,-0.1666666666666665,-0.1686666666666665,-0.1716666666666665,-0.1766666666666665,-0.1866666666666664,-0.2166666666666665,0.3271889400921657,0.3562499999999999,2026-05-27T11:42:10Z
GHSTBUSD,2025-11-29T06:59:59Z,2025-12-03T06:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/18d3e3ba2e8fa0c9824d0bda.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/5152a73cf07f78183cf9dc68.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/4ffc0f296736a188c47d91d0.json,yes,fc33d59d02e3d720,GHST,GHST,GHSTUSDT,2025-12-01T06:59:59Z,2025-12-01T04:30:24Z,medium,no,-0.1666666666666665,-0.1686666666666665,-0.1716666666666665,-0.1766666666666665,-0.1866666666666664,-0.2166666666666665,0.3271889400921657,0.3562499999999999,2026-05-27T11:42:10Z
ACAUSDT,2025-12-31T12:59:59Z,2026-01-04T12:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/d4072856327a0ddcc9984c78.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/9208fd78f46460aa2245caef.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/885f2b062611ed81b722d8cc.json,yes,dccc644ea3175a5f,ACA,ACA,ACAUSDT,2026-01-02T12:59:59Z,2026-01-02T10:59:57Z,low,no,0.4285714285714288,0.4265714285714288,0.4235714285714288,0.4185714285714288,0.4085714285714288,0.3785714285714288,0.0795454545454543,0.6923076923076925,2026-05-27T11:42:10Z
ACABUSD,2025-12-31T12:59:59Z,2026-01-04T12:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/94e3002c9085a6842a0cc524.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/d64a29cedb031efc6307985a.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/47c09742eb225374e326618c.json,yes,dccc644ea3175a5f,ACA,ACA,ACAUSDT,2026-01-02T12:59:59Z,2026-01-02T10:59:57Z,low,no,0.4285714285714288,0.4265714285714288,0.4235714285714288,0.4185714285714288,0.4085714285714288,0.3785714285714288,0.0795454545454543,0.6923076923076925,2026-05-27T11:42:10Z
DATAUSDT,2025-12-31T12:59:59Z,2026-01-04T12:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/4abae8d569976d5c9911cc68.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/901191d710e92f643c477814.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/46597440c4bac43e12e4cc42.json,yes,3aeb58a1f5337ceb,DATA,DATA,DATAUSDT,2026-01-02T12:59:59Z,2026-01-02T10:59:57Z,low,no,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,0.3057324840764333,0.7706766917293233,2026-05-27T11:42:10Z
DATABUSD,2025-12-31T12:59:59Z,2026-01-04T12:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/030fd707b3ec5d7da03820ec.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/6a5c975ed5f3f896766759d8.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/762bb19af068199b56a6e2c4.json,yes,3aeb58a1f5337ceb,DATA,DATA,DATAUSDT,2026-01-02T12:59:59Z,2026-01-02T10:59:57Z,low,no,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,0.3057324840764333,0.7706766917293233,2026-05-27T11:42:10Z
FLOWUSDT,2025-12-31T12:59:59Z,2026-01-04T12:59:59Z,96,96,0,yes,yes,yes,no,no,no,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,200;200;400,http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/5d7dbd4a7b0c07d8b7d0ff3c.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/45bbc48e27b6b5604ff68de9.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/605475a3adb9af894528e456.json,yes,6a25698db0b92de7,FLOW,FLOW,FLOWUSDT,2026-01-02T12:59:59Z,2026-01-02T10:59:57Z,medium,no,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,0.3333333333333332,0.5285126396237507,2026-05-27T11:42:10Z
FLOWBUSD,2025-12-31T12:59:59Z,2026-01-04T12:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/52595f97bd79e7e6f5e211ff.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/75e813b663b4d75c2dd9e67d.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/012ba3a50bdacea6577d90a3.json,yes,6a25698db0b92de7,FLOW,FLOW,FLOWUSDT,2026-01-02T12:59:59Z,2026-01-02T10:59:57Z,medium,no,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,0.3333333333333332,0.5285126396237507,2026-05-27T11:42:10Z
COSUSDT,2026-03-04T10:59:59Z,2026-03-08T10:59:59Z,96,24,0,yes,yes,yes,no,no,no,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,200;200;400,http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/b7ade30b3b62f99dd3804188.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/4e2d4f2be400f1a4112530c3.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/2c8c6f4d1c4090bb603f3709.json,yes,a69cfb015113f6cc,COS,COS,COSUSDT,2026-03-06T10:59:59Z,2026-03-06T08:29:56Z,low,yes,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,1.9354485776805253,0.1051995163240628,2026-05-27T11:42:10Z
COSBUSD,2026-03-04T10:59:59Z,2026-03-08T10:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/0f10a23d136f840fb4a86e4d.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/ad042cd78505de6f558041d8.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/7509aed94faaff1301d9841f.json,yes,a69cfb015113f6cc,COS,COS,COSUSDT,2026-03-06T10:59:59Z,2026-03-06T08:29:56Z,low,yes,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,1.9354485776805253,0.1051995163240628,2026-05-27T11:42:10Z
DEGOUSDT,2026-03-04T10:59:59Z,2026-03-08T10:59:59Z,96,24,0,yes,yes,yes,no,no,no,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,200;200;400,http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/e18e072ecfd67e0815f79007.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/11df7cf22bd6632485f6e573.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/1abf207d9abd61f4b10d071b.json,yes,6cca4d0784f78049,DEGO,DEGO,DEGOUSDT,2026-03-06T10:59:59Z,2026-03-06T08:29:56Z,low,yes,-0.1666666666666667,-0.1686666666666667,-0.1716666666666667,-0.1766666666666667,-0.1866666666666667,-0.2166666666666667,4.6299212598425195,0.0241935483870967,2026-05-27T11:42:10Z
