hold_window,strategy_id,cluster_date_utc,cluster_pnl_usdt,cluster_roi_on_margin,cumulative_pnl_usdt,drawdown_from_peak_usdt,tokens_count
14d,base_10_be20_tp15_30,2025-10-09,-90.90909090909093,-0.9090909090909094,4131.8548706078545,-154.3706724148842,1
14d,base_10_be20_tp15_30,2025-12-01,-90.90909090909093,-0.9090909090909094,4040.9457796987635,-245.2797633239752,1
14d,base_10_be20_tp15_30,2026-01-02,-90.90909090909105,-0.9090909090909105,3950.0366887896726,-336.1888542330662,1
14d,base_10_be20_tp15_30,2026-03-06,567.4196115420174,0.7092745144275218,4517.45630033169,0.0,8
14d,base_10_be20_tp15_30,2026-03-13,1048.2462814768155,3.494154271589385,5565.702581808506,0.0,3
14d,base_10_be20_tp15_30,2026-04-14,6.47491576767348,0.0161872894191837,5572.177497576179,0.0,4
14d,base_10_be20_tp15_30,2026-04-30,201.65809403050284,0.6721936467683428,5773.835591606682,0.0,3
14d,base_10_be20_tp15_30,2026-05-22,1019.9296491425812,2.039859298285162,6793.765240749263,0.0,5
14d,defensive_7p5_be10_tp10_20,2024-01-04,94.12144702842372,0.31373815676141237,94.12144702842372,0.0,3
14d,defensive_7p5_be10_tp10_20,2024-04-03,456.8733963428497,2.2843669817142485,550.9948433712734,0.0,2
14d,defensive_7p5_be10_tp10_20,2024-07-01,508.7580356862866,1.6958601189542886,1059.75287905756,0.0,3
14d,defensive_7p5_be10_tp10_20,2024-10-03,-25.322997416020662,-0.12661498708010333,1034.4298816415394,-25.3229974160206,2
14d,defensive_7p5_be10_tp10_20,2025-01-02,599.9432432655552,2.999716216327776,1634.3731249070947,0.0,2
14d,defensive_7p5_be10_tp10_20,2025-03-04,779.763600828324,2.59921200276108,2414.1367257354186,0.0,3
14d,defensive_7p5_be10_tp10_20,2025-04-03,1053.100057227192,2.106200114454384,3467.236782962611,0.0,5
14d,defensive_7p5_be10_tp10_20,2025-05-07,-229.39276485788105,-0.3823212747631351,3237.84401810473,-229.39276485788105,6
14d,defensive_7p5_be10_tp10_20,2025-06-05,236.9603680113234,2.369603680113234,3474.804386116053,0.0,1
14d,defensive_7p5_be10_tp10_20,2025-10-09,-69.76744186046501,-0.6976744186046502,3405.036944255588,-69.76744186046517,1
14d,defensive_7p5_be10_tp10_20,2025-12-01,-69.76744186046513,-0.6976744186046513,3335.269502395123,-139.53488372093034,1
14d,defensive_7p5_be10_tp10_20,2026-01-02,-69.76744186046513,-0.6976744186046513,3265.5020605346576,-209.3023255813955,1
14d,defensive_7p5_be10_tp10_20,2026-03-06,379.05553365742566,0.47381941707178205,3644.5575941920833,0.0,8
14d,defensive_7p5_be10_tp10_20,2026-03-13,228.02263953268272,0.7600754651089424,3872.580233724766,0.0,3
14d,defensive_7p5_be10_tp10_20,2026-04-14,102.38868724888357,0.2559717181222089,3974.96892097365,0.0,4
14d,defensive_7p5_be10_tp10_20,2026-04-30,180.98318638628575,0.6032772879542858,4155.952107359935,0.0,3
14d,defensive_7p5_be10_tp10_20,2026-05-22,669.2037977138807,1.3384075954277614,4825.155905073816,0.0,5
14d,runner_only_10_no_be,2024-01-04,-94.52345407401596,-0.31507818024671985,-94.52345407401596,-94.52345407401596,3
