token_entity_id,token_symbol,anchor_event_id,anchor_event_type,publication_datetime_utc,baseline_vwap_7d,baseline_median_close_7d,baseline_close_1d,post_event_low_7d,post_event_low_14d,post_event_low_30d,post_event_low_60d,post_event_low_90d,drawdown_to_low_7d,drawdown_to_low_14d,drawdown_to_low_30d,drawdown_to_low_60d,drawdown_to_low_90d,days_from_event_to_low_7d,days_from_event_to_low_30d,days_from_event_to_low_90d,low_timestamp_utc,low_price,volume_at_low,quote_volume_at_low,volume_zscore_at_low,wick_ratio_at_low,volatility_before_low,volatility_after_low,capitulation_flag,liquidity_death_flag,low_liquidity_wick_flag,absolute_bottom_confidence_score,manual_review_required,notes
MOVE,MOVE,18140f8172feb64b,MONITORING_TAG_ADDED,2025-05-07 08:00:33+00:00,0.1941849392269806,0.1810999999999999,0.1601,0.153,0.153,0.1288,0.111,0.111,-0.2120913155826158,-0.2120913155826158,-0.3367147806996139,-0.428379974050133,-0.428379974050133,0.0829513888888889,29.499618055555555,46.49961805555556,2025-06-22T20:00:00+00:00,0.111,4030208.8,455873.10159,2.5244754306435175,0.9056603773584904,0.0103849871830208,0.0212686056617342,no,no,no,0.85,no,
MULTI,MULTI,251d2bba37e3dd64,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-02-06 07:00:12+00:00,2.313931872051166,2.226,1.727,1.11,0.803,0.803,0.803,0.803,-0.5202970262836435,-0.6529716325277168,-0.6529716325277168,-0.6529716325277168,-0.6529716325277168,3.333194444444445,13.791527777777778,13.791527777777778,2024-02-20T02:00:00+00:00,0.803,391788.723,336451.025215,0.8708627133070466,0.2262773722627732,0.0132405382901125,,no,no,no,0.85,no,
NFP,NFP,1713e6ad64f92db2,MONITORING_TAG_ADDED,2026-04-30 07:00:05+00:00,0.015524919842451,0.015895,0.01255,0.01146,0.01146,0.0097,0.0097,0.0097,-0.2618319375367087,-0.2618319375367087,-0.3751980623129209,-0.3751980623129209,-0.3751980623129209,0.0416087962962962,25.833275462962963,25.833275462962963,2026-05-26T03:00:00+00:00,0.0097,2380618.0,23287.54477,-0.1013636067149226,0.8823529411764652,0.0083432076586822,0.0070525758077557,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
NKN,NKN,adf7b79baadd3250,MONITORING_TAG_ADDED,2025-04-03 07:00:36+00:00,0.0386844699312176,0.0421,0.0253,0.0188,0.016,0.016,0.016,0.016,-0.5140168643016932,-0.58639733132059,-0.58639733132059,-0.58639733132059,-0.58639733132059,6.999583333333334,13.832916666666666,13.832916666666666,2025-04-17T03:00:00+00:00,0.016,1427868.0,23051.8571,-0.5592240482286986,1.0,0.0131159431356894,0.0640404898784328,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
NOM,NOM,5b4814473eb320a9,MONITORING_TAG_ADDED,2026-04-30 07:00:05+00:00,0.0030035247672726,0.00275,0.0028,0.00243,0.00232,0.00201,0.00201,0.00201,-0.1909505703172456,-0.2275742070518558,-0.3307862742130302,-0.3307862742130302,-0.3307862742130302,6.2916087962962965,22.666608796296295,22.666608796296295,2026-05-22T23:00:00+00:00,0.00201,24887673.0,50669.5437,0.5097619881652142,0.4,0.0073262675080113,0.0127758563479355,no,yes,no,0.6,yes,low_quote_volume_at_low
NON,NON,94faf9340260e22c,SPOT_TOKEN_DELISTING_ANNOUNCED,2025-03-03T09:00:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,missing_1h_path
NTRN,NTRN,d133553a8f6c79b6,MONITORING_TAG_ADDED,2026-03-13 09:00:23+00:00,0.0108918938780364,0.0107,0.0105,0.0054,0.0039,0.0013,0.0013,0.0013,-0.5042184526890109,-0.6419355491642857,-0.8806451830547619,-0.8806451830547619,-0.8806451830547619,5.416400462962963,18.70806712962963,18.70806712962963,2026-04-01T02:00:00+00:00,0.0013,43993741.9,65726.2303,3.657490036560432,1.0,0.0402927620813295,,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
NULS,NULS,0b0fef5c55d48f0f,MONITORING_TAG_ADDED,2025-03-04 08:01:22+00:00,0.2226047200197465,0.23865,0.1747,0.1121,0.1121,0.0895,0.0227,0.0227,-0.4964167876132366,-0.4964167876132366,-0.5979420382817544,-0.8980255225586126,-0.8980255225586126,6.665717592592593,29.999050925925925,42.66571759259259,2025-04-16T00:00:00+00:00,0.0227,1323709.0,31307.1307,0.0084867649233462,0.2352941176470584,0.0423478923059101,,no,yes,no,0.6,yes,low_quote_volume_at_low
OAX,OAX,3f3886d7f85907a2,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-11-26 08:30:14+00:00,0.1551845510907699,0.1612,0.1055,0.0736,0.0356,0.0356,0.0356,0.0356,-0.5257259857203815,-0.7705957213538802,-0.7705957213538802,-0.7705957213538802,-0.7705957213538802,2.1040046296296295,13.72900462962963,13.72900462962963,2024-12-10T02:00:00+00:00,0.0356,2356259.0,93988.093,-0.4307168818881769,0.026315789473684,0.0526729703239451,,no,yes,no,0.6,yes,low_quote_volume_at_low
OMG,OMG,2b516f723278de6a,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-06-03 03:00:20+00:00,0.670174119373127,0.7255,0.562,0.357,0.357,0.357,0.357,0.357,-0.4673026163201682,-0.4673026163201682,-0.4673026163201682,-0.4673026163201682,-0.4673026163201682,4.624768518518518,4.624768518518518,4.624768518518518,2024-06-07T18:00:00+00:00,0.357,4268373.6,1701445.891,4.366667390657194,0.5581395348837213,0.0143691729557086,0.0139100281560373,no,no,no,0.85,no,
