event_id,token_symbol,event_time,scenario,is_research_eligible,confidence_level,next_risk_event_type,time_from_tag_to_next_risk_event,time_from_tag_to_delisting,return_7d_after_tag,return_30d_after_tag,return_90d_after_tag,alt_adj_return_30d_after_tag,alt_adj_return_90d_after_tag,max_drawdown_after_tag,recovery_after_tag,failed_recovery_flag,delayed_collapse_candidate_score,path_data_available_90d
bf72bb1d09062290,SNT,2024-07-01T07:00:03Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,yes,high,SPOT_TOKEN_DELISTING_ANNOUNCED,280.95837962962963,280.0,-0.1994640122511485,-0.062021439509954,-0.0367534456355284,-0.0904197319395467,-0.0457070132929669,-0.38284839203675347,yes,no,0.1,yes
d40e87ef3d1ebf58,SUN,2024-07-01T07:00:03Z,TAG_REMOVED_AND_RECOVERED,yes,high,MONITORING_TAG_REMOVED,185.08351851851853,,-0.074978204010462,-0.117698343504795,0.824760244115083,-0.1460966359343876,0.8158066764576445,-0.29991281604184816,yes,no,0.1,yes
14c00596e0d38ffa,BLZ,2024-10-03T07:00:05Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,SPOT_TOKEN_DELISTING_ANNOUNCED,76.04244212962963,76.0,-0.0865695792880258,-0.2378640776699029,-0.5736245954692557,-0.3426806346014971,-1.6229081425355465,-0.6084142394822006,yes,no,0.8,yes
b4b89fcf3e2d9d8d,CLV,2024-10-03T07:00:05Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,137.0002199074074,137.0,-0.0794285714285715,-0.2054285714285715,0.8725714285714283,-0.3102451283601657,-0.1767121184948621,-0.29485714285714293,yes,no,0.45,yes
0af050f2f61a9816,KEY,2024-10-03T07:00:05Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,54.06260416666667,54.0,-0.0370557096042349,-0.1777161583060247,,-0.2825327152376189,,-0.7731283085455004,yes,no,0.55,yes
14c99625149e363a,PROS,2024-10-03T07:00:05Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,186.95835648148147,186.0,0.1927113702623906,0.115743440233236,0.68134110787172,0.0109268833016417,-0.3679424391945705,-0.23935860058309033,yes,no,0.4,yes
b0e2fef6b72f5dbc,VITE,2024-10-03T07:00:05Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,137.0002199074074,137.0,-0.1593406593406594,-0.2651098901098901,-0.1009615384615385,-0.3699264470414844,-1.150245085527829,-0.326923076923077,no,yes,0.8,yes
c7d11f997d396961,STMX,2025-01-02T09:00:19Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,45.916724537037034,45.0,0.1448648648648649,-0.0875675675675676,,-0.0982224763253192,,-0.38468468468468475,yes,no,0.25,yes
db0cdaac498440e7,TROY,2025-01-02T09:00:19Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,95.87486111111112,95.0,-0.6101291212235176,-0.7937821236053655,-0.8967030211859095,-0.804437032363117,-0.5865187388649642,-0.9068572144916636,yes,no,0.7,yes
310b380d3d71ed42,REMOVE,2025-01-02T09:00:19Z,NO_CLEAR_REACTION,no,medium,,,,,,,,,,unknown,yes,0.2,no
