event_id,token_symbol,event_time,scenario,is_research_eligible,confidence_level,pump_size,pump_duration,post_pump_drawdown,time_to_drawdown,wick_vs_close_pump,failed_breakout_flag,pump_and_dump_flag,manual_review_required,short_fade_candidate_score
a38fa2982ab1db6f,COMBO,2025-03-21T05:50:20Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.1451814768460575,0.16111111111111112,-0.6821026282853567,163.0,0.18374816983894582,no,no,no,0.1
c7f6923d690b160e,CREAM,2025-04-08T06:00:07Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,-0.2350427350427349,0.9980555555555556,-0.2735042735042735,134.0,0.13364055299539168,no,no,no,0.0
4fe5c59e2ce9b37a,CTXC,2025-04-08T06:00:07Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.151093439363817,0.9980555555555556,-0.2435387673956263,165.0,0.18651685393258433,no,no,no,0.0
ada0e986aee726c8,CHESS,2026-02-02T08:59:52Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.1389337641357027,20.002222222222223,-0.7766558966074313,76.0,0.10432140445644844,no,no,no,0.1
77b52a90a52f0b02,DREP,2024-03-20T06:00:07Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,0.0705394190871369,1.9980555555555555,-0.8934993084370677,166.0,0.10780226325193576,no,no,no,0.1
4bbb4f82a3e5b36d,DOCK,2024-07-08T07:01:09Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,0.6353322528363046,121.98083333333334,-1.0032414910858996,20.0,0.05429200293470293,yes,yes,no,0.9
e100d0c98ef5519f,CVP,2024-08-12T07:00:11Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.0145054945054945,24.996944444444445,-0.8654945054945056,127.0,0.010141987829614507,no,no,no,0.1
f8d67c1c4ee0e8ad,DATA,2026-02-02T08:59:52Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,-0.1661891117478511,0.0022222222222222222,-0.6238968481375358,97.0,0.18644067796610164,no,no,no,0.2
53a23221767e3233,DF,2026-02-02T08:59:52Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.2052631578947368,0.0022222222222222222,-0.4368421052631579,97.0,0.24412532637075723,no,no,no,0.0
2e773bcd17d36eb5,DEGO,2026-04-17T09:00:06Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0717131474103585,0.9983333333333333,-0.8601195219123506,165.0,0.07725321888412018,no,no,no,0.1
ad47866cdc3fa4f9,DENT,2026-04-17T09:00:06Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0769230769230768,94.99833333333333,-0.6043076923076923,32.0,0.06451612903225801,no,no,no,0.1
99b686845e362442,EPX,2024-08-12T07:00:11Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,0.3560709413369713,12.996944444444445,-1.0914051841746248,134.0,0.21730382293762562,yes,yes,no,0.9
2b488d2b7a3bc9e1,ELF,2025-04-08T06:00:07Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,yes,high,0.0627192982456139,47.99805555555555,-0.1903508771929823,97.0,0.03197789182787214,no,no,no,0.1
fcfc54cd33c803c1,FARM,2026-05-13T08:00:04Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.01340206185567,23.99888888888889,-0.3298969072164948,137.0,0.05162523900573612,no,no,no,0.0
12a35496eac872d0,FOR,2024-08-12T07:00:11Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.043340380549683,24.996944444444445,-0.7198731501057084,125.0,0.03850050658561299,no,no,no,0.1
5edb3573d0fb2768,GFT,2024-11-26T08:30:14Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,-0.031890660592255,73.4961111111111,-0.8192862566438877,93.0,0.07317073170731692,no,no,no,0.1
baa29308443bb37c,FIRO,2025-04-08T06:00:07Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.1437371663244353,27.998055555555556,-0.2012320328542094,36.0,0.1382113821138211,no,no,no,0.0
420df8d1346ad109,FLM,2025-10-29T03:00:04Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,0.0342205323193915,27.99888888888889,-0.8334220532319392,123.0,0.23655913978494625,no,no,no,0.2
aa59d83f83934faa,FIS,2025-12-03T06:29:56Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,0.0138568129330254,5.501111111111111,-0.6244803695150116,142.0,0.04487179487179471,no,no,no,0.2
838bae335e170e7d,GHST,2026-02-02T08:59:52Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,-0.2162162162162161,0.0022222222222222222,-0.2970945945945947,96.0,0.24369747899159666,no,no,no,0.1
30f9d43efa20dca3,FORTH,2026-03-18T09:00:08Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0190735694822888,0.9977777777777778,-0.6580381471389646,144.0,0.056944444444444464,no,no,no,0.1
12fe2acee58f74d4,FIO,2026-04-09T06:00:05Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0269749518304431,0.9986111111111111,-0.8477842003853564,146.0,0.017274472168905985,no,no,no,0.1
64f83596ce3f3b49,FUN,2026-04-09T06:00:05Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,low,77.80952380952381,0.9986111111111111,-78.4702380952381,147.0,0.09012875536480691,yes,yes,yes,0.5
9a257d0f0bedfaa8,HARD,2025-04-08T06:00:07Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.1885964912280699,0.9980555555555556,-1.0339912280701753,152.0,0.07933579335793373,no,no,no,0.1
398b0b8562199239,HIFI,2025-09-03T02:59:54Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,0.241446725317693,0.0016666666666666668,-0.6089931573802543,152.0,0.31874298540965196,yes,yes,no,0.9
515cfee81c53a661,HOOK,2026-03-18T09:00:08Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0172413793103447,0.9977777777777778,-0.5344827586206897,166.0,0.0350877192982455,no,no,no,0.1
3c7fc4d113e04b96,IDRT,2024-10-23T07:00:37Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,,,,,,no,no,no,0.0
a9656f0319fdbf16,IRIS,2024-11-26T08:30:14Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,yes,high,0.5628042843232715,74.4961111111111,-1.302044790652385,87.0,0.29160530191458034,yes,yes,no,1.0
37b0c3ac77ce235b,KEY,2024-11-26T08:30:14Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0051057622173595,74.4961111111111,-0.5379285193289569,17.0,0.16320474777448069,no,no,no,0.1
28b99dfcb851026e,KDA,2025-10-29T03:00:04Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,yes,high,-0.0659163987138263,0.9988888888888889,-0.837620578778135,150.0,0.1049913941480205,no,no,no,0.2
a19c31e06c92df78,IDEX,2026-03-18T09:00:08Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.0582524271844659,24.997777777777777,-0.7048543689320388,141.0,0.12323943661971826,no,no,no,0.1
bcffb8b6dc13c97c,LOOM,2024-08-12T07:00:11Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,low,0.0087700981415743,4.996944444444445,-0.0400918772186259,99.0,0.042857142857142705,no,no,no,0.0
5dfeaf68546f1889,KP3R,2024-10-23T07:00:37Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.036668412781561,14.989722222222222,-0.605028810895757,111.0,0.12379989893885801,no,no,no,0.1
028ddc85ac40eb5b,LINA,2025-03-21T05:50:20Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,-0.0876320696084524,0.16111111111111112,-0.7029210689869484,160.0,0.18460490463215273,no,no,no,0.1
fc9f80e6cbea62eb,KMD,2025-06-26T07:00:09Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.1818181818181818,23.9975,-0.9139610389610392,129.0,0.10661268556005399,no,no,no,0.1
d92c98003fa4b980,LEVER,2025-06-26T07:00:09Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.0186666666666666,94.9975,-0.4666666666666667,48.0,0.04629629629629628,no,no,no,0.0
f3b8dbb977d66257,LTO,2025-06-26T07:00:09Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.0805687203791469,0.9975,-0.9099526066350712,167.0,0.01754385964912264,no,no,no,0.1
c2bf8d8de7ddecb5,LRC,2026-03-18T09:00:08Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0022296544035674,23.997777777777777,-0.3730955035302862,104.0,0.15456238361266306,no,no,no,0.0
871690a2876fd5a8,MOB,2024-03-20T06:00:07Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,-0.0126582278481012,25.998055555555556,-0.5492264416315049,142.0,0.035286284953395475,no,no,no,0.2
191fd00d2777170a,MDX,2024-07-08T07:01:09Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,1.9098850574712647,109.98083333333334,-2.2662068965517244,15.0,0.08059269967473792,yes,yes,yes,0.7
edc4732f2920123b,MDT,2026-04-09T06:00:05Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,0.4383333333333334,26.99861111111111,-0.7948333333333335,121.0,0.05689655172413799,yes,yes,no,0.9
33afb9ebbddd5a54,MLN,2026-05-13T08:00:04Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,0.2666666666666666,41.99888888888889,-0.5022222222222221,119.0,0.020000000000000018,yes,yes,no,0.9
251d2bba37e3dd64,MULTI,2024-02-06T07:00:12Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,yes,high,-0.0492182976259411,106.99666666666667,-0.539837869137232,39.0,0.07739764441951769,no,no,no,0.2
3f3886d7f85907a2,OAX,2024-11-26T08:30:14Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,0.0483412322274883,74.4961111111111,-0.7090047393364931,78.0,0.20668316831683176,no,no,no,0.1
94faf9340260e22c,NON,2025-03-03T09:00:03Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,low,,,,,,no,no,no,0.0
0585c4d33e031fbf,NULS,2025-04-08T06:00:07Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0456349206349206,25.998055555555556,-0.4523809523809523,142.0,0.18644067796610186,no,no,no,0.0
356e1d682c7d8f7d,NKN,2026-02-02T08:59:52Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,0.04,0.0022222222222222222,-0.4883,96.0,0.202247191011236,no,no,no,0.1
2e74ba8b9b9a26ef,NTRN,2026-03-18T09:00:08Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0317460317460317,31.997777777777777,-0.7142857142857143,134.0,0.12857142857142856,no,no,no,0.1
8660726da9a31951,PERL,2023-11-27T06:00:26Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,0.4552058111380144,81.99277777777777,-0.5786924939467311,83.0,0.07952286282306154,yes,yes,no,0.9
31a48282d85a2000,PNT,2024-03-20T06:00:07Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,0.1797884841363104,25.998055555555556,-0.7685076380728556,140.0,0.0669491525423731,no,no,no,0.1
2b516f723278de6a,OMG,2024-06-03T03:00:20Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,yes,high,-0.0142348754448399,0.9944444444444445,-0.6313701067615658,110.0,0.028880866425992524,no,no,no,0.2
dd05a098ec6694d4,POLS,2024-07-08T07:01:09Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,0.1888202794930127,122.98083333333334,-0.520311992200195,35.0,0.05584327854086912,no,no,no,0.2
6e6a33f0d9f83771,OOKI,2024-10-23T07:00:37Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,0.1355140186915888,14.989722222222222,-0.996495327102804,114.0,0.07818930041152283,no,no,no,0.1
1d36b23be50d2faa,PDA,2025-04-24T04:00:05Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.1134615384615385,56.99861111111111,-0.1365384615384615,38.0,0.09824333116460626,no,no,no,0.0
78b8ca03c300b7e5,PERP,2025-10-29T03:00:04Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,-0.0062176165803109,26.99888888888889,-0.7875129533678756,103.0,0.0685714285714285,no,no,no,0.2
