grouping,comparison_group,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,avg_ex_top5,avg_ex_bottom5,profit_factor,median_mae,median_mfe,median_quote_volume_24h,median_return_1h,low_liquidity_rate,abnormal_gap_rate,extreme_wick_gap_rate,clustered_rate,funding_available_rate,oi_available_rate,feasibility_tier,primary_scenario,event_half,liquidity_bucket,funding_available,oi_available,low_liquidity_flag,abnormal_candle_gap,extreme_first_hour_wick_gap,event_clustered_with_another_risk_event
comparison_group+scenario,A_full_confirmed_or_inferred_binance_perp,2,0.0,-0.17666666666666658,-0.17666666666666658,-0.17666666666666664,-0.17666666666666656,-0.1766666666666667,-0.1766666666666665,,,0.0,0.44407600255777846,0.48096639833393406,5953832.6100550005,-0.058159121325395705,0.5,0.0,0.0,0.0,1.0,0.0,,TEMPORARY_PANIC_THEN_RECOVERY,,,,,,,,
comparison_group+event_half,A_full_confirmed_or_inferred_binance_perp,5,0.6,0.0992475067996374,0.11661140612183236,-0.1766666666666666,0.4185714285714288,-0.1766666666666666,0.4185714285714288,,,2.650161407384421,0.0420923579893748,0.3227027027027027,10389239.98992,-0.0067516879219804,0.2,0.0,0.0,0.2,1.0,0.0,,,2024H1,,,,,,,
comparison_group+event_half,A_full_confirmed_or_inferred_binance_perp,5,0.6,0.0070634920634919,0.09817460317460318,-0.1766666666666665,0.4185714285714286,-0.1766666666666666,0.4185714285714286,,,2.389263252470801,0.2021452145214521,0.3772165502418054,4540476.535294,-0.0233537519142419,0.4,0.0,0.0,0.0,1.0,0.0,,,2024H2,,,,,,,
comparison_group+event_half,A_full_confirmed_or_inferred_binance_perp,17,0.35294117647058826,-0.1766666666666666,0.00979206896704805,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,,,1.085659608459597,0.4407407407407406,0.5090909090909093,5805260.683800001,-0.0371373307543519,0.0,0.29411764705882354,0.11764705882352941,0.0,1.0,0.0,,,2025H1,,,,,,,
comparison_group+event_half,A_full_confirmed_or_inferred_binance_perp,1,0.0,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,,,0.0,0.3271889400921657,0.3562499999999999,2304538.7795,-0.0225225225225225,0.0,0.0,0.0,0.0,1.0,0.0,,,2025H2,,,,,,,
comparison_group+event_half,A_full_confirmed_or_inferred_binance_perp,24,0.5416666666666666,0.10985294117647071,0.0680247033968477,-0.1766666666666666,0.254690170940171,-0.1766666666666667,0.4185714285714288,-0.02422443480698939,0.10298061340592117,1.8400992529284796,0.19006756756756743,0.3539716670882873,1374626.5784855,-0.0189765458422174,0.5416666666666666,0.0,0.0,0.125,0.9583333333333334,0.2916666666666667,,,2026YTD,,,,,,,
comparison_group+liquidity_bucket,A_full_confirmed_or_inferred_binance_perp,17,0.4117647058823529,-0.1766666666666666,0.027109920420767732,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,,,1.2608690455583311,0.3116328708644611,0.4423076923076923,833351.56334,-0.0189054726368158,0.9411764705882353,0.0,0.0,0.11764705882352941,0.9411764705882353,0.058823529411764705,,,,low_volume,,,,,,
comparison_group+liquidity_bucket,A_full_confirmed_or_inferred_binance_perp,15,0.6666666666666666,0.2122222222222222,0.13542711827025553,-0.17666666666666656,0.37255494505494513,-0.1766666666666667,0.4185714285714288,,,3.2997057819477367,0.1109422492401215,0.3830845771144278,2622377.5361,-0.019047619047619,0.0,0.06666666666666667,0.0,0.06666666666666667,1.0,0.4,,,,mid_volume,,,,,,
comparison_group+liquidity_bucket,A_full_confirmed_or_inferred_binance_perp,20,0.4,-0.17666666666666656,0.010202300628639412,-0.1766666666666666,0.1908928571428573,-0.1766666666666667,0.4185714285714288,-0.06186283959655873,0.030965519217006757,1.096248119138108,0.335373203523412,0.4010607944506249,8039624.90944,-0.02716956482351195,0.0,0.2,0.1,0.05,1.0,0.0,,,,high_volume,,,,,,
comparison_group+funding,A_full_confirmed_or_inferred_binance_perp,1,0.0,-0.1766666666666666,-0.1766666666666666,-0.1766666666666666,-0.1766666666666666,-0.1766666666666666,-0.1766666666666666,,,0.0,0.2921108742004266,0.3248587570621468,422251.96782,-0.0112359550561798,1.0,0.0,0.0,0.0,0.0,0.0,,,,,no,,,,,
comparison_group+funding,A_full_confirmed_or_inferred_binance_perp,51,0.49019607843137253,-0.1766666666666665,0.05633310000875175,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.016959368643243385,0.08165916160390592,1.6254691074992034,0.2449999999999998,0.3933823529411766,3203884.4415,-0.0206699928724162,0.29411764705882354,0.09803921568627451,0.0392156862745098,0.0784313725490196,1.0,0.13725490196078433,,,,,yes,,,,,
comparison_group+oi,A_full_confirmed_or_inferred_binance_perp,45,0.4222222222222222,-0.1766666666666666,0.03576944246219437,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,-0.012080805801459937,0.06232395610330199,1.3504263231056781,0.3116328708644611,0.4794188861985471,4065070.5169,-0.0225225225225225,0.3333333333333333,0.1111111111111111,0.044444444444444446,0.08888888888888889,0.9777777777777777,0.0,,,,,,no,,,,
comparison_group+oi,A_full_confirmed_or_inferred_binance_perp,7,0.8571428571428571,0.2122222222222222,0.15524236042584666,0.1339821646243664,0.22831908831908831,-0.1766666666666666,0.3265384615384616,,,7.151112394231661,0.0149253731343284,0.2222222222222223,2402247.018,-0.0077014218009479,0.14285714285714285,0.0,0.0,0.0,1.0,1.0,,,,,,yes,,,,
