section,group,cost_bps,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,profit_factor,expectancy,average_ex_top5,median_ex_top5,average_ex_bottom5,median_ex_bottom5
scenario,IMMEDIATE_DUMP_AFTER_TAG,50,3,1.0,0.2308974358974359,0.19211468633037265,0.17030165912518855,0.23331908831908837,0.1097058823529412,0.2357407407407409,0.0149253731343284,0.2641509433962266,,0.19211468633037265,,,,
scenario,NO_CLEAR_REACTION,50,4,0.75,0.18128593628593626,0.1306109168609169,0.06609557109557099,0.24580128205128213,-0.1716666666666666,0.33153846153846167,0.06196463111356715,0.22193585337915228,4.043361169574764,0.1306109168609169,,,,
scenario,SLOW_BLEED_AFTER_TAG,50,2,0.5,-0.025833333333333208,-0.025833333333333208,-0.09874999999999991,0.04708333333333349,-0.1716666666666666,0.12000000000000019,0.30272187524095917,0.22515527950310565,0.6990291262135936,-0.025833333333333208,,,,
scenario,TAG_REMOVED_AND_RECOVERED,50,3,0.6666666666666666,0.1042475067996374,0.11871742290146647,-0.03370957993351459,0.26390946768553303,-0.1716666666666666,0.4235714285714286,0.1324960753532182,0.3227027027027027,3.074673409928541,0.11871742290146647,,,,
scenario,TAG_REMOVED_BUT_NOT_RECOVERED,50,1,0.0,-0.17166666666666672,-0.17166666666666672,-0.17166666666666672,-0.17166666666666672,-0.17166666666666672,-0.17166666666666672,0.3333333333333332,0.5285126396237507,0.0,-0.17166666666666672,,,,
scenario,TAG_TO_DELISTING_TO_COLLAPSE,50,12,0.4166666666666667,-0.1716666666666665,0.07634920634920642,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.20745558598413033,0.41783444309927353,1.7624331285912433,0.07634920634920642,,,,
scenario,TEMPORARY_PANIC_THEN_RECOVERY,50,1,0.0,-0.1716666666666665,-0.1716666666666665,-0.1716666666666665,-0.1716666666666665,-0.1716666666666665,-0.1716666666666665,0.5398373983739839,0.5147783251231528,0.0,-0.1716666666666665,,,,
cost_sensitivity,all,100,30,0.5666666666666667,0.10985294117647071,0.09750593634590939,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.12834790963563594,0.36966728855721387,2.2736624486403265,0.09750593634590939,0.06183199276529613,0.09924750679963741,0.12796955890286227,0.1403496503496502
time_split,2024H1,100,4,0.75,0.25890946768553313,0.1899309243189571,0.030268963433061402,0.4185714285714288,-0.1766666666666666,0.4185714285714288,0.0377374640759282,0.49427457969780797,5.300322814768842,0.1899309243189571,,,,
time_split,2024H2,100,3,0.3333333333333333,-0.1766666666666665,0.02174603174603183,-0.17666666666666656,0.12095238095238103,-0.1766666666666666,0.4185714285714286,0.2021452145214521,0.3046286329386438,1.1846361185983836,0.02174603174603183,,,,
time_split,2025H1,100,11,0.36363636363636365,-0.1766666666666666,0.03978354978354984,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.3642819101721994,0.5147783251231528,1.3538698498267236,0.03978354978354984,,,,
time_split,2025H2,100,1,0.0,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,0.3271889400921657,0.3562499999999999,0.0,-0.1766666666666665,,,,
time_split,2026YTD,100,11,0.8181818181818182,0.21222222222222228,0.16720581062827058,0.10985294117647071,0.2786396011396013,-0.17666666666666672,0.4185714285714286,0.0240384615384616,0.2641509433962266,6.205463915785781,0.16720581062827058,,,,
scenario,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,100,4,0.75,0.4185714285714287,0.26976190476190487,0.26976190476190476,0.4185714285714288,-0.17666666666666672,0.4185714285714288,0.21104029578949465,1.2132745962607574,7.1078167115902975,0.26976190476190487,,,,
scenario,IMMEDIATE_DUMP_AFTER_TAG,100,3,1.0,0.22589743589743588,0.18711468633037268,0.16530165912518854,0.22831908831908837,0.1047058823529412,0.23074074074074089,0.0149253731343284,0.2641509433962266,,0.18711468633037268,,,,
scenario,NO_CLEAR_REACTION,100,4,0.75,0.17628593628593625,0.12561091686091688,0.06109557109557098,0.24080128205128212,-0.1766666666666666,0.32653846153846167,0.06196463111356715,0.22193585337915228,3.8440207591151,0.12561091686091688,,,,
scenario,SLOW_BLEED_AFTER_TAG,100,2,0.5,-0.030833333333333206,-0.030833333333333206,-0.10374999999999991,0.0420833333333335,-0.1766666666666666,0.1150000000000002,0.30272187524095917,0.22515527950310565,0.6509433962264164,-0.030833333333333206,,,,
scenario,TAG_REMOVED_AND_RECOVERED,100,3,0.6666666666666666,0.09924750679963741,0.11371742290146647,-0.03870957993351461,0.258909467685533,-0.1766666666666666,0.4185714285714286,0.1324960753532182,0.3227027027027027,2.9310505775720728,0.11371742290146647,,,,
scenario,TAG_REMOVED_BUT_NOT_RECOVERED,100,1,0.0,-0.17666666666666672,-0.17666666666666672,-0.17666666666666672,-0.17666666666666672,-0.17666666666666672,-0.17666666666666672,0.3333333333333332,0.5285126396237507,0.0,-0.17666666666666672,,,,
scenario,TAG_TO_DELISTING_TO_COLLAPSE,100,12,0.4166666666666667,-0.1766666666666665,0.07134920634920643,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.20745558598413033,0.41783444309927353,1.6923373122834051,0.07134920634920643,,,,
scenario,TEMPORARY_PANIC_THEN_RECOVERY,100,1,0.0,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,0.5398373983739839,0.5147783251231528,0.0,-0.1766666666666665,,,,
cost_sensitivity,all,200,30,0.5666666666666667,0.0998529411764707,0.0875059363459094,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.12834790963563594,0.36966728855721387,2.081804158122507,0.0875059363459094,0.051831992765296125,0.0892475067996374,0.11796955890286231,0.1303496503496502
time_split,2024H1,200,4,0.75,0.2489094676855331,0.1799309243189571,0.020268963433061407,0.4085714285714288,-0.1866666666666666,0.4085714285714288,0.0377374640759282,0.49427457969780797,4.855662663977654,0.1799309243189571,,,,
time_split,2024H2,200,3,0.3333333333333333,-0.18666666666666648,0.011746031746031838,-0.18666666666666654,0.11095238095238102,-0.1866666666666666,0.4085714285714286,0.2021452145214521,0.3046286329386438,1.0943877551020416,0.011746031746031838,,,,
time_split,2025H1,200,11,0.36363636363636365,-0.1866666666666666,0.029783549783549843,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.3642819101721994,0.5147783251231528,1.2507288629737616,0.029783549783549843,,,,
time_split,2025H2,200,1,0.0,-0.18666666666666648,-0.18666666666666648,-0.18666666666666648,-0.18666666666666648,-0.18666666666666648,-0.18666666666666648,0.3271889400921657,0.3562499999999999,0.0,-0.18666666666666648,,,,
time_split,2026YTD,200,11,0.8181818181818182,0.2022222222222223,0.15720581062827058,0.0998529411764707,0.2686396011396013,-0.1866666666666667,0.4085714285714286,0.0240384615384616,0.2641509433962266,5.631956920297259,0.15720581062827058,,,,
