token_entity_id,token_symbol,final_outcome,primary_scenario,secondary_flags,anchor_event_id,anchor_event_type,spot_pair,futures_pair,fallback_provider,price_window_rows,missing_price_rows,benchmark_gap_rows,unresolved_pair_rows,true_data_gap_rows,true_data_gap_rate,benchmark_gap_rate,is_research_eligible,exclusion_reason,data_quality_score,confidence_level
FHE,FHE,seed_tag_only,SEED_TAG_ONLY,,8805f912b380d2e6,SEED_TAG_ADDED,,FHEUSDT,,18.0,18.0,0.0,18.0,0.0,0.0,0.0,no,unresolved_pair_or_symbol,0.8,medium
FIDA,FIDA,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,34a3f4ee4d24bceb,SPOT_PAIR_REMOVED,FIDAUSDT,FIDAUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
FIL,FIL,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,2aaddfda58c12e71,SPOT_PAIR_REMOVED,FILUSDT,FILUSDT,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
FIO,FIO,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,e7ff807aa10c4697,MONITORING_TAG_ADDED,FIOUSDT,FIOUSDT,ccxt_mexc,54.0,3.0,3.0,0.0,1.0,0.018518518518518517,0.05555555555555555,no,fallback_provider_unavailable,0.78,medium
FIRO,FIRO,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,4a8314d988bfa109,MONITORING_TAG_ADDED,FIROUSDT,,ccxt_mexc,72.0,8.0,0.0,0.0,4.0,0.05555555555555555,0.0,no,fallback_provider_unavailable,0.781,medium
FIS,FIS,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED,b61c4ff537847d96,MONITORING_TAG_ADDED,FISUSDT,FISUSDT,ccxt_gateio,72.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
FLM,FLM,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED,725932a8252a9eab,MONITORING_TAG_ADDED,FLMUSDT,FLMUSDT,ccxt_mexc,54.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
FLOKI,FLOKI,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,a4f1b1a95f1ee632,SPOT_PAIR_REMOVED,FLOKIUSDT,,,36.0,6.0,6.0,0.0,6.0,0.16666666666666666,0.16666666666666666,no,pair_removal_control_only,0.6,low
FLOW,FLOW,tag_removed,TAG_REMOVED_BUT_NOT_RECOVERED,,6a25698db0b92de7,MONITORING_TAG_ADDED,FLOWUSDT,FLOWUSDT,,90.0,1.0,1.0,0.0,1.0,0.011111111111111112,0.011111111111111112,yes,,0.993,high
FLUX,FLUX,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,d393045e377b8d9a,SPOT_PAIR_REMOVED,FLUXUSDT,FLUXUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
FOGO,FOGO,seed_tag_only,SEED_TAG_ONLY,,427ea11fd57b7745,SEED_TAG_ADDED,FOGOUSDT,FOGOUSDT,,18.0,18.0,0.0,0.0,18.0,1.0,0.0,no,true_data_gap_heavy,0.75,medium
FOOTBALL,FOOTBALL,futures_only_delisting,FUTURES_ONLY_DELISTING,,8faa937cb096340d,FUTURES_CONTRACT_DELISTING_ANNOUNCED,,,,18.0,1.0,0.0,0.0,1.0,0.05555555555555555,0.0,no,no_resolved_binance_pair,0.981,high
FOR,FOR,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PROVIDER_UNAVAILABLE,419b41fc1bb70d43,MONITORING_TAG_ADDED,FORUSDT,,,36.0,3.0,0.0,0.0,0.0,0.0,0.0,no,fallback_provider_unavailable,0.8,medium
FORTH,FORTH,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,9499c53655bc3991,MONITORING_TAG_ADDED,FORTHUSDT,FORTHUSDT,ccxt_mexc,54.0,2.0,2.0,0.0,1.0,0.018518518518518517,0.037037037037037035,no,fallback_provider_unavailable,0.784,medium
FRONT,FRONT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,9ac851563f0cc36c,SPOT_PAIR_REMOVED,FRONTUSDT,,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
FTM,FTM,futures_only_delisting,FUTURES_ONLY_DELISTING,,353bf81a7f882b46,FUTURES_CONTRACT_DELISTING_ANNOUNCED,FTMUSDT,FTMUSDT,,18.0,0.0,1.0,0.0,0.0,0.0,0.05555555555555555,yes,,0.986,high
FUN,FUN,delisted_after_tag,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE;PUMP_MANUAL_REVIEW;SUSPICIOUS_FALLBACK_SPIKE;TAG_TO_DELISTING,24a0f7579654e736,MONITORING_TAG_ADDED,FUNUSDT,FUNUSDT,ccxt_gateio,72.0,3.0,3.0,0.0,1.0,0.013888888888888888,0.041666666666666664,no,manual_review_required;fallback_provider_unavailable;suspicious_fallback_spike,0.385,low
FXS,FXS,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,ad72b3a4004d43c1,SPOT_PAIR_REMOVED,FXSUSDT,FXSUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
GALA,GALA,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,4fb5990c69bed4f5,SPOT_PAIR_REMOVED,GALAUSDT,GALAUSDT,,90.0,2.0,2.0,0.0,2.0,0.022222222222222223,0.022222222222222223,no,pair_removal_control_only,0.687,medium
GAS,GAS,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,6468d04bd9805424,SPOT_PAIR_REMOVED,GASUSDT,GASUSDT,,54.0,3.0,3.0,0.0,3.0,0.05555555555555555,0.05555555555555555,no,pair_removal_control_only,0.667,medium
GBP,GBP,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,c940fc07f98491be,SPOT_PAIR_REMOVED,GBPUSDT,,,36.0,6.0,0.0,0.0,6.0,0.16666666666666666,0.0,no,pair_removal_control_only,0.642,low
GENIUS,GENIUS,seed_tag_only,SEED_TAG_ONLY,,7bc8d529097b0cc2,SEED_TAG_ADDED,GENIUSUSDT,GENIUSUSDT,,18.0,18.0,5.0,0.0,18.0,1.0,0.2777777777777778,no,true_data_gap_heavy;benchmark_gap_heavy,0.681,medium
GFT,GFT,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,FALLBACK_PROVIDER_UNAVAILABLE,5edb3573d0fb2768,SPOT_TOKEN_DELISTING_ANNOUNCED,GFTUSDT,,,18.0,4.0,0.0,0.0,0.0,0.0,0.0,no,fallback_provider_unavailable,0.8,medium
GHST,GHST,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED,fc33d59d02e3d720,MONITORING_TAG_ADDED,GHSTUSDT,GHSTUSDT,ccxt_mexc,36.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
GIGGLE,GIGGLE,seed_tag_only,SEED_TAG_ONLY,,18e11f948d6d38ba,SEED_TAG_ADDED,GIGGLEUSDT,GIGGLEUSDT,,18.0,18.0,0.0,0.0,18.0,1.0,0.0,no,true_data_gap_heavy,0.75,medium
GLMR,GLMR,futures_only_delisting,FUTURES_ONLY_DELISTING,,e0c46ae28147b5be,FUTURES_CONTRACT_DELISTING_ANNOUNCED,GLMRUSDT,GLMRUSDT,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
GMT,GMT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,97290c3321443c55,SPOT_PAIR_REMOVED,GMTUSDT,GMTUSDT,,90.0,1.0,1.0,0.0,1.0,0.011111111111111112,0.011111111111111112,no,pair_removal_control_only,0.693,medium
GMX,GMX,unknown,UNKNOWN_MANUAL_REVIEW,,8b0c3844b9be5c0c,SEED_TAG_REMOVED,,,,,,,,,,,no,unknown_manual_review;manual_review_required;no_resolved_binance_pair,0.1,low
GNS,GNS,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,36c5f050ddb4ccdb,SPOT_PAIR_REMOVED,GNSUSDT,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
GPS,GPS,tag_removed,TAG_REMOVED_BUT_NOT_RECOVERED,PRE_ANNOUNCEMENT_DUMP;PRICE_MOVED_BEFORE_OFFICIAL_ANNOUNCEMENT,5fa3fcfa690cf833,MONITORING_TAG_ADDED,GPSUSDT,GPSUSDT,,72.0,3.0,0.0,0.0,3.0,0.041666666666666664,0.0,yes,,0.985,high
GRT,GRT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,0f2e14d1b62e1f15,SPOT_PAIR_REMOVED,GRTUSDT,GRTUSDT,,72.0,2.0,2.0,0.0,2.0,0.027777777777777776,0.027777777777777776,no,pair_removal_control_only,0.683,medium
GTC,GTC,still_tagged,SLOW_BLEED_AFTER_TAG,,084e900636ac5fbe,MONITORING_TAG_ADDED,GTCUSDT,GTCUSDT,,54.0,1.0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,yes,,0.989,high
GUN,GUN,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,5d3c58ac043661d8,SPOT_PAIR_REMOVED,GUNUSDT,GUNUSDT,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HAEDAL,HAEDAL,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,25734b9364bf329a,SPOT_PAIR_REMOVED,HAEDALUSDT,HAEDALUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HARD,HARD,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PROVIDER_UNAVAILABLE,c54abb522c3fe7f3,MONITORING_TAG_ADDED,HARDUSDT,,,108.0,8.0,0.0,0.0,4.0,0.037037037037037035,0.0,no,fallback_provider_unavailable,0.787,medium
HBAR,HBAR,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,d20f2f19405ffd96,SPOT_PAIR_REMOVED,HBARUSDT,HBARUSDT,,36.0,3.0,3.0,0.0,3.0,0.08333333333333333,0.08333333333333333,no,pair_removal_control_only,0.65,medium
HEI,HEI,still_tagged,NO_CLEAR_REACTION,,ee200e0e804f9834,MONITORING_TAG_ADDED,HEIUSDT,HEIUSDT,,36.0,5.0,5.0,0.0,5.0,0.1388888888888889,0.1388888888888889,yes,,0.917,high
HEMI,HEMI,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,41eee77f9977ffc6,SPOT_PAIR_REMOVED,HEMIUSDT,HEMIUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HFT,HFT,still_tagged,NO_CLEAR_REACTION,,70cb64249d0273f1,MONITORING_TAG_ADDED,HFTUSDT,HFTUSDT,,54.0,5.0,5.0,0.0,5.0,0.09259259259259259,0.09259259259259259,yes,,0.944,high
HIFI,HIFI,delisted_after_tag,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE;TAG_TO_DELISTING,2c99c44cb7fd8609,MONITORING_TAG_ADDED,HIFIUSDT,HIFIUSDT,ccxt_mexc,72.0,21.0,0.0,0.0,18.0,0.25,0.0,no,fallback_provider_unavailable;true_data_gap_heavy,0.713,medium
HIGH,HIGH,still_tagged,NO_CLEAR_REACTION,,8fa523c997c7d4f5,MONITORING_TAG_ADDED,HIGHUSDT,HIGHUSDT,,72.0,2.0,2.0,0.0,2.0,0.027777777777777776,0.027777777777777776,yes,,0.983,high
HIPPO,HIPPO,futures_only_delisting,FUTURES_ONLY_DELISTING,,457ad61afef61621,FUTURES_CONTRACT_DELISTING_ANNOUNCED,,HIPPOUSDT,,18.0,2.0,2.0,0.0,2.0,0.1111111111111111,0.1111111111111111,yes,,0.933,high
HIVE,HIVE,spot_pair_removed_only,PAIR_REMOVAL_ONLY,PRE_ANNOUNCEMENT_WEAKNESS;PRICE_MOVED_BEFORE_OFFICIAL_ANNOUNCEMENT,b45ed3549ffe30c0,SPOT_PAIR_REMOVED,HIVEUSDT,HIVEUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HMSTR,HMSTR,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,0d763962e686ac67,SPOT_PAIR_REMOVED,HMSTRUSDT,HMSTRUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HOLO,HOLO,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,4c0d625ccc95e780,SPOT_PAIR_REMOVED,HOLOUSDT,HOLOUSDT,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HOME,HOME,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,f54d6316f53519f6,SPOT_PAIR_REMOVED,HOMEUSDT,HOMEUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HOOK,HOOK,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,b9485d9081530016,MONITORING_TAG_ADDED,HOOKUSDT,HOOKUSDT,ccxt_gateio,90.0,2.0,2.0,0.0,1.0,0.011111111111111112,0.022222222222222223,no,fallback_provider_unavailable,0.791,medium
HOT,HOT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,cb13b540bb5321cd,SPOT_PAIR_REMOVED,HOTUSDT,HOTUSDT,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HUMA,HUMA,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,ee1e8a6904ae3dbb,SPOT_PAIR_REMOVED,HUMAUSDT,HUMAUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
HYPER,HYPER,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,57e00e9d28f3afbb,SPOT_PAIR_REMOVED,HYPERUSDT,HYPERUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ICP,ICP,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,2eb48d0a565c0ffc,SPOT_PAIR_REMOVED,ICPUSDT,ICPUSDT,,72.0,2.0,2.0,0.0,2.0,0.027777777777777776,0.027777777777777776,no,pair_removal_control_only,0.683,medium
ICX,ICX,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,34073cf5c9fc8d60,SPOT_PAIR_REMOVED,ICXUSDT,ICXUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ID,ID,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,ce9c150a08aaa29f,SPOT_PAIR_REMOVED,IDUSDT,IDUSDT,,72.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
