hold_window,strategy_id,token_trades,clusters,total_margin_usdt,total_pnl_usdt,roi_on_margin,token_win_rate,cluster_win_rate,median_token_pnl,median_cluster_roi,p25_token_pnl,p75_token_pnl,best_token_pnl,worst_token_pnl,profit_factor,tp1_rate,tp2_rate,be_active_rate,stopped_out_rate,median_mfe,median_mae,max_mae
30d,aggressive_10_be20_tp20_50,53,17,5300.0,7665.751633652313,1.4463682327645875,0.6037735849056604,0.6470588235294118,75.0,0.5862540535397468,-90.90909090909093,130.05780346820828,1486.719605695509,-90.90909090909105,5.015393712865493,0.5094339622641509,0.07547169811320754,0.5094339622641509,0.660377358490566,0.2529002320185616,0.04870384917517678,1.0609756097560972
30d,balanced_10_be15_tp10_30,53,17,5300.0,6463.734464272249,1.2195725404287263,0.7358490566037735,0.5882352941176471,33.33333333333335,0.8927994794559949,-30.303030303030305,204.7619047619048,1216.4815104574138,-90.90909090909105,6.332580933024603,0.6981132075471698,0.32075471698113206,0.660377358490566,0.6792452830188679,0.23870967741935467,0.035335689045936425,1.0609756097560972
30d,base_10_be20_tp15_30,53,17,5300.0,7042.200996747506,1.3287171691976427,0.6037735849056604,0.6470588235294118,58.23529411764707,0.7092745144275218,-90.90909090909093,199.66386554621852,1346.2794186677952,-90.90909090909105,6.452967231435953,0.660377358490566,0.33962264150943394,0.5094339622641509,0.660377358490566,0.2529002320185616,0.04870384917517678,1.0609756097560972
30d,defensive_7p5_be10_tp10_20,53,17,5300.0,5043.993009875435,0.9516967943161198,0.6981132075471698,0.7058823529411765,44.444444444444464,0.6032772879542858,-69.76744186046501,119.44444444444446,1131.1640501399536,-69.76744186046513,5.518577071346746,0.6415094339622641,0.41509433962264153,0.6415094339622641,0.7358490566037735,0.22094361334867663,0.035335689045936425,1.0609756097560972
30d,runner_only_10_no_be,53,17,5300.0,8682.045632026819,1.6381218173635508,0.39622641509433965,0.47058823529411764,-90.90909090909093,-0.024754046334496755,-90.90909090909105,130.05780346820828,3372.3986856516976,-90.90909090909105,3.9844531860092167,0.0,0.0,0.0,0.6037735849056604,0.2529002320185616,0.10600706713780927,1.08274231678487
3d,aggressive_10_be20_tp20_50,53,17,5300.0,4720.907410851065,0.8907372473303896,0.7358490566037735,0.7647058823529411,82.86516853932586,0.6449965536271708,-5.769230769230638,146.45602049530316,724.3577981651375,-90.90909090909105,4.9752083600865715,0.24528301886792453,0.018867924528301886,0.24528301886792453,0.32075471698113206,0.17103448275862054,0.019526482792287192,1.0609756097560972
3d,balanced_10_be15_tp10_30,53,17,5300.0,4159.684112569505,0.7848460589753782,0.7924528301886793,0.7647058823529411,72.79693486590033,0.7006171745608719,33.33333333333328,135.85254768004555,454.1197029270423,-90.90909090909105,5.546797845193494,0.6792452830188679,0.05660377358490566,0.4716981132075472,0.33962264150943394,0.17103448275862054,0.017857142857142794,1.0609756097560972
3d,base_10_be20_tp15_30,53,17,5300.0,4561.616539055811,0.8606823658595869,0.7358490566037735,0.7647058823529411,72.79693486590033,0.7291387221879273,-2.6737967914438485,155.2851280046903,482.26937013337437,-90.90909090909105,5.942797520172348,0.4716981132075472,0.05660377358490566,0.24528301886792453,0.32075471698113206,0.17103448275862054,0.019526482792287192,1.0609756097560972
3d,defensive_7p5_be10_tp10_20,53,17,5300.0,3924.0089874300343,0.740379054232082,0.7358490566037735,0.7647058823529411,97.22222222222229,0.609772306212631,-5.769230769230638,132.31805674162635,368.802242609582,-69.76744186046513,5.299124942865188,0.6415094339622641,0.24528301886792453,0.6415094339622641,0.41509433962264153,0.17103448275862054,0.017857142857142794,1.0609756097560972
3d,runner_only_10_no_be,53,17,5300.0,4923.624201230309,0.9289856983453414,0.7169811320754716,0.7647058823529411,98.34368530020687,0.5862540535397468,-90.90909090909093,155.91397849462373,831.1926605504588,-90.90909090909105,4.851104940658738,0.0,0.0,0.0,0.2641509433962264,0.17103448275862054,0.020290581162324628,1.0609756097560972
60d,aggressive_10_be20_tp20_50,53,17,5300.0,7765.120635891688,1.4651171011116393,0.6037735849056604,0.6470588235294118,75.0,0.5862540535397468,-90.90909090909093,98.34368530020687,1806.6076294277927,-90.90909090909105,5.067444142609928,0.5094339622641509,0.09433962264150944,0.5094339622641509,0.7169811320754716,0.2529002320185616,0.06553911205074003,1.0609756097560972
60d,balanced_10_be15_tp10_30,53,17,5300.0,6775.520805790559,1.2784001520359545,0.7358490566037735,0.5882352941176471,33.33333333333335,0.7098898749362209,-30.303030303030305,204.7619047619048,1536.3695341896976,-90.90909090909105,6.5898046647772075,0.6981132075471698,0.32075471698113206,0.660377358490566,0.7358490566037735,0.23870967741935467,0.035335689045936425,1.0609756097560972
60d,base_10_be20_tp15_30,53,17,5300.0,7415.930546314869,1.3992321785499753,0.6037735849056604,0.6470588235294118,58.23529411764707,0.6721936467683428,-90.90909090909093,199.66386554621852,1708.8191788977165,-90.90909090909105,6.742356158016063,0.660377358490566,0.33962264150943394,0.5094339622641509,0.7169811320754716,0.2529002320185616,0.06553911205074003,1.0609756097560972
60d,defensive_7p5_be10_tp10_20,53,17,5300.0,5439.395170602785,1.026300975585431,0.6981132075471698,0.7058823529411765,44.444444444444464,0.6032772879542858,-69.76744186046501,119.44444444444446,1451.0520738722373,-69.76744186046513,5.872791506998329,0.6415094339622641,0.41509433962264153,0.6415094339622641,0.7924528301886793,0.22094361334867663,0.035335689045936425,1.0609756097560972
60d,runner_only_10_no_be,53,17,5300.0,10382.64282132906,1.9589892115715208,0.33962264150943394,0.47058823529411764,-90.90909090909093,-0.3566736731476613,-90.90909090909105,97.43589743589732,4438.692098092643,-90.90909090909105,4.263116315274845,0.0,0.0,0.0,0.660377358490566,0.2529002320185616,0.10798816568047331,1.08274231678487
