token_entity_id,token_symbol,final_outcome,primary_scenario,secondary_flags,anchor_event_id,anchor_event_type,return_1h,return_24h,return_7d,return_30d,return_90d,alt_adj_return_24h,alt_adj_return_30d,alt_adj_return_90d,recovery_90_sustained,recovery_100_sustained,never_recovered,pump20_flag,pump_and_dump_flag,fallback_used,manual_review_required
ASTR,ASTR,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,c73b7fa87b7aa330,SPOT_PAIR_REMOVED,-0.0070505287896593,0.0411280846063455,-0.0987074030552291,-0.1410105757931845,-0.0017626321974146,0.0349004495533768,-0.0715803819613529,0.0818528552846293,,,,no,no,no,no
AT,AT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,166a0255f0d5243a,SPOT_PAIR_REMOVED,0.0006238303181533,-0.0062383031815346,0.0037429819089207,-0.0717404865876482,0.0118527760449158,0.0046166235849245,-0.1224827252159971,-0.1285136795489427,,,,no,no,no,no
ATA,ATA,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,c94c0613623769e6,MONITORING_TAG_ADDED,0.0,0.0275229357798165,-0.0366972477064219,-0.2018348623853211,,0.0581488976211319,-0.1299215342450986,,yes,no,no,no,no,yes,no
ATOM,ATOM,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,046b8bf328163da8,SPOT_PAIR_REMOVED,-0.001608455882353,-0.0278033088235295,0.01953125,0.0840992647058822,0.5560661764705881,-0.0122103722352664,-0.1067505614394506,-0.7687309715926558,,,,no,no,no,no
AUCTION,AUCTION,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,f97d3a6d394169c9,SPOT_PAIR_REMOVED,-0.0066489361702127,0.002659574468085,0.1183510638297873,1.3843085106382982,2.595744680851064,-0.033708318940243,1.09255114309059,2.167925004687352,,,,no,no,no,no
AUDIO,AUDIO,futures_only_delisting,FUTURES_ONLY_DELISTING,,b84cf23756774b2e,FUTURES_CONTRACT_DELISTING_ANNOUNCED,-0.0132850241545894,-0.0024154589371979,-0.0332125603864734,,,-0.0089819449849351,,,yes,no,no,no,no,no,no
AVA,AVA,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,4d07ede3994af3f8,SPOT_PAIR_REMOVED,-0.0049592631951824,0.0262132483173929,-0.0162947219270279,,,-0.0154990037731769,,,,,,no,no,no,no
AVAX,AVAX,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,90e1452ab1eae9d6,SPOT_PAIR_REMOVED,0.0135041551246537,-0.0467451523545705,-0.1101108033240997,-0.0827562326869806,-0.0429362880886425,-0.0199194081289755,-0.0016799676563822,-0.0086662025793838,,,,no,no,no,no
AVNT,AVNT,seed_tag_only,SEED_TAG_ONLY,,400bdebef0cf9247,SEED_TAG_ADDED,,,,,,,,,yes,yes,no,no,no,no,no
AWE,AWE,spot_pair_removed_only,PAIR_REMOVAL_ONLY,PRE_ANNOUNCEMENT_WEAKNESS;PRICE_MOVED_BEFORE_OFFICIAL_ANNOUNCEMENT,d04ed80ec4e73236,SPOT_PAIR_REMOVED,-0.0020884093282282,0.0107901148625131,0.4135050469892098,-0.1038983640793594,-0.0203619909502261,0.0045624798095443,-0.0344681702475278,0.0632534965318178,,,,no,no,no,no
AXL,AXL,seed_tag_only,SEED_TAG_ONLY,,989889acd0b31a72,SEED_TAG_ADDED,,,,,,,,,yes,yes,no,no,no,no,no
AXS,AXS,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,328e38e47ace796f,SPOT_PAIR_REMOVED,-0.0017543859649122,0.0350877192982457,0.1385964912280701,0.3368421052631578,0.4333333333333333,0.0037297757318747,-0.0817254288702116,-0.0416028323381008,,,,no,no,no,no
B3,B3,futures_only_delisting,FUTURES_ONLY_DELISTING,,db987c7ce0d4bd19,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.0102076733544524,0.0239352340725096,-0.083069341781063,-0.083069341781063,,0.0190673856807478,-0.0760635040252572,,no,no,no,no,no,no,no
BABY,BABY,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,1f4e7c67f5747dd4,SPOT_PAIR_REMOVED,-0.001818916734034,0.0026273241713823,-0.0580032336297494,0.0044462409054162,-0.591552142279709,-0.0102893705835586,0.0266299846770427,-0.2657861638818347,,,,no,no,no,no
BADGER,BADGER,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED,05efae81cc940ff4,MONITORING_TAG_ADDED,0.0210424085464551,0.035286500485594,-0.3878277759792813,-0.6079637423114277,-0.6508902557461962,-0.0208663843832435,-0.5114846556124211,-0.6474341886223802,yes,no,no,no,no,yes,no
BAKE,BAKE,delisted_after_tag,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,FALLBACK_PROVIDER_UNAVAILABLE;TAG_TO_DELISTING,5c8137ecc69b6b61,MONITORING_TAG_ADDED,0.1364161849710983,-0.0231213872832368,0.0208092485549133,-0.0739884393063582,,-0.0045019216389214,-0.2470069297703837,,yes,yes,no,yes,yes,no,no
BAL,BAL,delisted_after_tag,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,FALLBACK_PRICE_USED;TAG_TO_DELISTING,f19444577bbd2958,MONITORING_TAG_ADDED,0.003003003003003,-0.1331331331331331,-0.1828495161828495,-0.2042042042042042,-0.2792792792792792,-0.1301708013346943,-0.2326024966337969,-0.2882328469367177,yes,no,no,yes,yes,yes,no
BANANA,BANANA,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,e9c96f73542d2614,SPOT_PAIR_REMOVED,-0.002053388090349,0.0164271047227926,-0.0533880903490758,-0.0800821355236138,-0.2094455852156057,0.0101994696698238,-0.0106519416917822,-0.1258300977335617,,,,no,no,no,no
BAND,BAND,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,d1e9a7578443dab4,SPOT_PAIR_REMOVED,0.0190039318479684,0.0530799475753605,0.001310615989515,0.0910878112712976,0.1972477064220184,0.0167120541670323,-0.2006695562764106,-0.2305719697416933,,,,no,no,no,no
BANK,BANK,seed_tag_only,SEED_TAG_ONLY,,09541c7c027b9222,SEED_TAG_ADDED,,,,,,,,,yes,no,no,no,no,no,no
BARD,BARD,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,49872abbb524147c,SPOT_PAIR_REMOVED,-0.0014028822854227,0.0192577477362581,0.0261446244101517,-0.0419589338094631,-0.5447009310036985,0.037902249731707,0.0373724794726533,-0.2891980320358793,,,,no,no,no,no
BASE,BASE,seed_tag_only,SEED_TAG_ONLY,,56930619c799ad56,SEED_TAG_ADDED,,,,,,,,,unknown,unknown,unknown,no,no,no,no
BAT,BAT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,90a4f13e2cf3ed6f,SPOT_PAIR_REMOVED,-0.0019782393669632,0.0049455984174084,0.0346191889218596,,,-0.0234103042055479,,,,,,no,no,no,no
BB,BB,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,3ba21efe89d557d4,SPOT_PAIR_REMOVED,0.0028011204481792,-0.1232492997198879,-0.0868347338935575,-0.2745098039215686,-0.0896358543417367,-0.0172759730539823,-0.2225220861111699,-0.1197617254370615,,,,no,no,no,no
BCH,BCH,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,35d891db6c565ec5,SPOT_PAIR_REMOVED,0.0052910052910053,0.0143168378462494,-0.0189853719265484,0.1167133520074696,0.5319016495487083,-0.0027838439749924,-0.0200524111300964,-0.4878256732721409,,,,no,no,no,no
BDXN,BDXN,futures_only_delisting,FUTURES_ONLY_DELISTING,,e25686fc46d400b0,FUTURES_CONTRACT_DELISTING_ANNOUNCED,,,,,,,,,unknown,unknown,unknown,no,no,no,no
BEL,BEL,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,6c189af071b9865d,SPOT_PAIR_REMOVED,0.0120660850194915,-0.0061258585483571,-0.0248746983478744,0.2118062001113794,0.1011694820865045,0.0059833207060884,-0.2462003930697449,-0.9718369277720136,,,,no,no,no,no
BERA,BERA,unknown,UNKNOWN_MANUAL_REVIEW,,8e24319d5b2116da,SEED_TAG_REMOVED,,,,,,,,,,,,no,no,no,yes
BETA,BETA,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PROVIDER_UNAVAILABLE,08d7f3a2766ef543,MONITORING_TAG_ADDED,-0.023220665017862,-0.1133553173948885,-0.1896125309150865,-0.0910964550700741,0.1324539708711183,-0.1173538616935434,-0.3117946987964883,-1.1107032138512176,yes,yes,no,no,no,no,no
BICO,BICO,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,e20f941100fbb1cf,SPOT_PAIR_REMOVED,-0.0091324200913242,-0.052511415525114,-0.0296803652968035,0.0091324200913243,-0.4200913242009132,-0.0123302974852998,-0.0647552074935519,-0.2303289457319928,,,,no,no,no,no
BID,BID,futures_only_delisting,FUTURES_ONLY_DELISTING,,a7a00713314caf8b,FUTURES_CONTRACT_DELISTING_ANNOUNCED,-0.0239334027055152,-0.1897329171002428,-0.5119667013527576,-0.5119667013527576,-0.5119667013527576,-0.1914651371888966,-0.2097025731863778,-0.2269373200077427,no,no,no,no,no,no,no
BIFI,BIFI,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PROVIDER_UNAVAILABLE,a0ebf708da0a74fa,MONITORING_TAG_ADDED,-0.0266429840142096,-0.1361752516281823,-0.1308466548253404,-0.1042036708111308,0.1000592066311427,-0.0995794294753593,-0.0441241195556663,-0.1658099805383658,yes,yes,no,no,no,no,no
BIO,BIO,unknown,UNKNOWN_MANUAL_REVIEW,,9610df9040af1664,SEED_TAG_REMOVED,,,,,,,,,,,,no,no,no,yes
BLUEBIRD,BLUEBIRD,futures_only_delisting,FUTURES_ONLY_DELISTING,,8d2c41278b684d20,FUTURES_CONTRACT_DELISTING_ANNOUNCED,-0.0040302267002518,-0.0484346887369557,0.2097876934148974,0.2097876934148974,,0.017549616095068,0.3752170305587946,,yes,yes,no,no,no,no,no
BLUR,BLUR,seed_tag_only,SEED_TAG_ONLY,,0dcd3dbcba5b7665,SEED_TAG_ADDED,,,,,,,,,yes,yes,no,no,no,no,no
BLZ,BLZ,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED,14c00596e0d38ffa,MONITORING_TAG_ADDED,-0.0275080906148866,0.0339805825242718,-0.0865695792880258,-0.2378640776699029,-0.5736245954692557,0.0173795917399042,-0.3426806346014971,-1.6229081425355465,yes,yes,no,no,no,yes,no
BMT,BMT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,ff725b56c1e74b68,SPOT_PAIR_REMOVED,-0.0015748031496063,-0.0236220472440945,0.058267716535433,-0.0251968503937008,-0.5763779527559055,-0.0190234045933003,-0.1254037305578663,-0.2265814345544736,,,,no,no,no,no
BNB,BNB,futures_only_delisting,FUTURES_ONLY_DELISTING,,9d9d6fb041531ddd,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.007901930633863,0.0032034853921065,-0.023406799931659,0.1277122842986502,0.6330514266188279,-0.0164225078664494,-0.3119851182743722,0.2587287312028898,yes,yes,no,no,no,no,no
BNT,BNT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,f1acb3977200b8b0,SPOT_PAIR_REMOVED,-0.0067882901994059,0.0528213831141282,0.101187950784896,0.0997030123037758,0.754985150615189,0.017724194142877,-0.0062316403535067,-0.7451158666594087,,,,no,no,no,no
BNX,BNX,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,dd8f2f7cf6894400,SPOT_PAIR_REMOVED,0.0106829454406716,0.0606638687523846,0.2186188477680275,0.1808470049599388,0.0629530713468142,0.0242959753440564,-0.1109103625877693,-0.3648666048168975,,,,no,no,no,no
